place,count,count_normalized,label
United States,4236,0.12142406696095855,2016 - 2020
Syria,895,0.025654990540618015,2016 - 2020
Iraq,697,0.019979361348391907,2016 - 2020
Republican,668,0.01914808232528808,2016 - 2020
France,644,0.018460127271684917,2016 - 2020
Afghanistan,524,0.015020352003669094,2016 - 2020
Britain,521,0.014934357621968698,2016 - 2020
Iran,515,0.014762368858567907,2016 - 2020
Paris,499,0.014303732156165797,2016 - 2020
Russia,495,0.01418907298056527,2016 - 2020
Democrat,447,0.01281316287335894,2016 - 2020
Pakistan,444,0.012727168491658544,2016 - 2020
London,433,0.012411855758757095,2016 - 2020
Israel,419,0.01201054864415525,2016 - 2020
Europe,389,0.011150604827151293,2016 - 2020
China,360,0.010319325804047468,2016 - 2020
Germany,335,0.009602705956544173,2016 - 2020
Saudi Arabia,328,0.009402052399243249,2016 - 2020
Texas,322,0.009230063635842459,2016 - 2020
Islamist,318,0.00911540446024193,2016 - 2020
India,312,0.00894341569684114,2016 - 2020
Christian,253,0.00725219285673336,2016 - 2020
Orlando,253,0.00725219285673336,2016 - 2020
California,245,0.007022874505532305,2016 - 2020
New York City,241,0.006908215329931778,2016 - 2020
Florida,236,0.006764891360431118,2016 - 2020
Brussels,235,0.006736226566530987,2016 - 2020
Yemen,232,0.006650232184830591,2016 - 2020
Jewish,230,0.006592902597030327,2016 - 2020
Manhattan,228,0.006535573009230064,2016 - 2020
Lebanon,218,0.006248925070228745,2016 - 2020
Egypt,214,0.006134265894628218,2016 - 2020
Democratic,206,0.0059049475434271624,2016 - 2020
Jihadist,206,0.0059049475434271624,2016 - 2020
Turkey,204,0.005847617955626899,2016 - 2020
Indian,198,0.005675629192226108,2016 - 2020
Ohio,198,0.005675629192226108,2016 - 2020
Libya,192,0.005503640428825317,2016 - 2020
Palestinian,191,0.0054749756349251845,2016 - 2020
Africa,190,0.005446310841025053,2016 - 2020
Saudi,183,0.00524565728372413,2016 - 2020
Canada,181,0.005188327695923867,2016 - 2020
Virginia,181,0.005188327695923867,2016 - 2020
Belgium,166,0.004758355787421889,2016 - 2020
North Korea,164,0.004701026199621624,2016 - 2020
Nigeria,164,0.004701026199621624,2016 - 2020
New Jersey,163,0.004672361405721493,2016 - 2020
Australia,144,0.004127730321618988,2016 - 2020
Mexico,142,0.004070400733818724,2016 - 2020
Berlin,138,0.003955741558218196,2016 - 2020
San Bernardino,135,0.003869747176517801,2016 - 2020
Italy,134,0.003841082382617669,2016 - 2020
Cuba,130,0.0037264232070171417,2016 - 2020
Jew,128,0.003669093619216878,2016 - 2020
Boston,127,0.003640428825316746,2016 - 2020
Somalia,124,0.0035544344436163502,2016 - 2020
Moscow,122,0.003497104855816087,2016 - 2020
El Paso,121,0.0034684400619159547,2016 - 2020
Nazi,120,0.003439775268015823,2016 - 2020
Obama,120,0.003439775268015823,2016 - 2020
Fla,118,0.003382445680215559,2016 - 2020
Spain,115,0.0032964512985151637,2016 - 2020
Jordan,114,0.003267786504615032,2016 - 2020
Las Vegas,114,0.003267786504615032,2016 - 2020
Kenya,112,0.003210456916814768,2016 - 2020
Chicago,111,0.003181792122914636,2016 - 2020
Arabic,109,0.0031244625351143727,2016 - 2020
New Zealand,109,0.0031244625351143727,2016 - 2020
Japan,107,0.003067132947314109,2016 - 2020
Georgia,107,0.003067132947314109,2016 - 2020
Soviet Union,103,0.0029524737717135812,2016 - 2020
Pittsburgh,103,0.0029524737717135812,2016 - 2020
Pennsylvania,100,0.0028664793900131857,2016 - 2020
Kurdish,99,0.002837814596113054,2016 - 2020
