place,count,count_normalized,label
united states,1437,0.1342488789237668,1980 - 1985
israel,335,0.0312967115097159,1980 - 1985
washington,287,0.0268124065769805,1980 - 1985
lebanon,248,0.023168908819133,1980 - 1985
soviet,216,0.0201793721973094,1980 - 1985
france,208,0.0194319880418535,1980 - 1985
arab,205,0.0191517189835575,1980 - 1985
britain,193,0.0180306427503736,1980 - 1985
italy,191,0.0178437967115097,1980 - 1985
palestinian,189,0.0176569506726457,1980 - 1985
iran,178,0.0166292974588938,1980 - 1985
beirut,177,0.0165358744394618,1980 - 1985
the soviet union,172,0.0160687593423019,1980 - 1985
libya,162,0.015134529147982,1980 - 1985
republican,148,0.0138266068759342,1980 - 1985
new york,143,0.0133594917787742,1980 - 1985
syria,142,0.0132660687593423,1980 - 1985
europe,121,0.0113041853512705,1980 - 1985
jewish,111,0.0103699551569506,1980 - 1985
london,105,0.0098094170403587,1980 - 1985
democrat,104,0.0097159940209267,1980 - 1985
el salvador,96,0.0089686098654708,1980 - 1985
spain,96,0.0089686098654708,1980 - 1985
nicaragua,95,0.0088751868460388,1980 - 1985
moscow,94,0.0087817638266068,1980 - 1985
cuba,90,0.0084080717488789,1980 - 1985
egypt,86,0.0080343796711509,1980 - 1985
christian,84,0.0078475336322869,1980 - 1985
west germany,82,0.007660687593423,1980 - 1985
iraq,82,0.007660687593423,1980 - 1985
russia,82,0.007660687593423,1980 - 1985
northern ireland,81,0.007567264573991,1980 - 1985
paris,79,0.007380418535127,1980 - 1985
ireland,76,0.007100149476831,1980 - 1985
turkey,75,0.0070067264573991,1980 - 1985
rome,72,0.0067264573991031,1980 - 1985
jew,66,0.0061659192825112,1980 - 1985
germany,62,0.0057922272047832,1980 - 1985
islam,59,0.0055119581464872,1980 - 1985
communist,58,0.0054185351270553,1980 - 1985
south africa,57,0.0053251121076233,1980 - 1985
jerusalem,57,0.0053251121076233,1980 - 1985
armenia,52,0.0048579970104633,1980 - 1985
democratic,51,0.0047645739910313,1980 - 1985
jordan,50,0.0046711509715994,1980 - 1985
west bank,49,0.0045777279521674,1980 - 1985
marxist,46,0.0042974588938714,1980 - 1985
catholic,46,0.0042974588938714,1980 - 1985
india,46,0.0042974588938714,1980 - 1985
argentina,46,0.0042974588938714,1980 - 1985
madrid,42,0.0039237668161434,1980 - 1985
afghanistan,41,0.0038303437967115,1980 - 1985
saudi arabia,39,0.0036434977578475,1980 - 1985
the west bank,39,0.0036434977578475,1980 - 1985
africa,39,0.0036434977578475,1980 - 1985
indian,38,0.0035500747384155,1980 - 1985
japan,38,0.0035500747384155,1980 - 1985
west german,37,0.0034566517189835,1980 - 1985
socialist,36,0.0033632286995515,1980 - 1985
new york city,36,0.0033632286995515,1980 - 1985
los angeles,36,0.0033632286995515,1980 - 1985
china,35,0.0032698056801195,1980 - 1985
kuwait,35,0.0032698056801195,1980 - 1985
basque,34,0.0031763826606875,1980 - 1985
poland,33,0.0030829596412556,1980 - 1985
shiite,33,0.0030829596412556,1980 - 1985
tripoli,32,0.0029895366218236,1980 - 1985
south african,32,0.0029895366218236,1980 - 1985
greece,32,0.0029895366218236,1980 - 1985
canada,30,0.0028026905829596,1980 - 1985
california,29,0.0027092675635276,1980 - 1985
muslim,28,0.0026158445440956,1980 - 1985
vietnam,28,0.0026158445440956,1980 - 1985
belfast,28,0.0026158445440956,1980 - 1985
teheran,26,0.0024289985052316,1980 - 1985
damascus,25,0.0023355754857997,1980 - 1985
guatemala,25,0.0023355754857997,1980 - 1985
latin american,25,0.0023355754857997,1980 - 1985
north korea,25,0.0023355754857997,1980 - 1985
yemen,24,0.0022421524663677,1980 - 1985
san salvador,24,0.0022421524663677,1980 - 1985
chile,24,0.0022421524663677,1980 - 1985
cairo,22,0.0020553064275037,1980 - 1985
belgium,21,0.0019618834080717,1980 - 1985
mexico,21,0.0019618834080717,1980 - 1985
nazi,21,0.0019618834080717,1980 - 1985
vienna,21,0.0019618834080717,1980 - 1985
bulgaria,20,0.0018684603886397,1980 - 1985
chicago,20,0.0018684603886397,1980 - 1985
munich,20,0.0018684603886397,1980 - 1985
tel aviv,20,0.0018684603886397,1980 - 1985
algeria,20,0.0018684603886397,1980 - 1985
pakistan,20,0.0018684603886397,1980 - 1985
alabama,19,0.0017750373692077,1980 - 1985
manhattan,19,0.0017750373692077,1980 - 1985
massachusetts,19,0.0017750373692077,1980 - 1985
costa rica,19,0.0017750373692077,1980 - 1985
hebron,19,0.0017750373692077,1980 - 1985
new jersey,19,0.0017750373692077,1980 - 1985
sandinista,18,0.0016816143497757,1980 - 1985
colombia,18,0.0016816143497757,1980 - 1985
yugoslavia,18,0.0016816143497757,1980 - 1985
switzerland,17,0.0015881913303437,1980 - 1985
austria,17,0.0015881913303437,1980 - 1985
boston,17,0.0015881913303437,1980 - 1985
dublin,17,0.0015881913303437,1980 - 1985
san francisco,17,0.0015881913303437,1980 - 1985
bonn,17,0.0015881913303437,1980 - 1985
portugal,16,0.0014947683109118,1980 - 1985
moslem,16,0.0014947683109118,1980 - 1985
managua,16,0.0014947683109118,1980 - 1985
florida,16,0.0014947683109118,1980 - 1985
geneva,15,0.0014013452914798,1980 - 1985
uganda,15,0.0014013452914798,1980 - 1985
kurdish,15,0.0014013452914798,1980 - 1985
sri lanka,15,0.0014013452914798,1980 - 1985
the irish republic,15,0.0014013452914798,1980 - 1985
west european,15,0.0014013452914798,1980 - 1985
grenada,14,0.0013079222720478,1980 - 1985
south korea,14,0.0013079222720478,1980 - 1985
czechoslovakia,14,0.0013079222720478,1980 - 1985
contra,14,0.0013079222720478,1980 - 1985
brussels,14,0.0013079222720478,1980 - 1985
orlando,13,0.0012144992526158,1980 - 1985
ohio,13,0.0012144992526158,1980 - 1985
new delhi,13,0.0012144992526158,1980 - 1985
milan,13,0.0012144992526158,1980 - 1985
nigeria,13,0.0012144992526158,1980 - 1985
panama,12,0.0011210762331838,1980 - 1985
qaddafi,12,0.0011210762331838,1980 - 1985
brazil,12,0.0011210762331838,1980 - 1985
cambodia,12,0.0011210762331838,1980 - 1985
