place,count,count_normalized,label
united states,5014,0.13932809069941923,2001 - 2005
washington,1565,0.043487926195570625,2001 - 2005
iraq,1291,0.035874065634812574,2001 - 2005
afghanistan,997,0.027704448828743712,2001 - 2005
new york,928,0.02578708978242143,2001 - 2005
islam,846,0.02350848917664712,2001 - 2005
muslim,823,0.022869369494539694,2001 - 2005
israel,809,0.02248034012282213,2001 - 2005
republican,606,0.016839414232917443,2001 - 2005
britain,572,0.01589462861588907,2001 - 2005
palestinian,529,0.014699752688470836,2001 - 2005
democrat,517,0.014366298941284352,2001 - 2005
arab,514,0.014282935504487731,2001 - 2005
london,412,0.011448578653402618,2001 - 2005
pakistan,405,0.011254063967543835,2001 - 2005
russia,358,0.009948036791063439,2001 - 2005
saudi arabia,339,0.009420068358018173,2001 - 2005
france,338,0.009392280545752633,2001 - 2005
germany,321,0.008919887737238447,2001 - 2005
iran,302,0.00839191930419318,2001 - 2005
europe,289,0.008030677744741156,2001 - 2005
egypt,281,0.007808375246616834,2001 - 2005
new york city,255,0.0070858921277127855,2001 - 2005
spain,245,0.006808014005057382,2001 - 2005
democratic,241,0.006696862755995221,2001 - 2005
syria,228,0.006335621196543196,2001 - 2005
texas,227,0.006307833384277656,2001 - 2005
chicago,221,0.0061411065106844135,2001 - 2005
pennsylvania,215,0.005974379637091172,2001 - 2005
florida,212,0.005891016200294551,2001 - 2005
saudi,209,0.00580765276349793,2001 - 2005
japan,196,0.005446411204045905,2001 - 2005
california,184,0.005112957456859421,2001 - 2005
canada,180,0.0050018062077972604,2001 - 2005
madrid,180,0.0050018062077972604,2001 - 2005
jewish,177,0.0049184427710006395,2001 - 2005
los angeles,175,0.004862867146469559,2001 - 2005
christian,169,0.004696140272876317,2001 - 2005
lebanon,168,0.004668352460610776,2001 - 2005
italy,168,0.004668352460610776,2001 - 2005
china,167,0.004640564648345236,2001 - 2005
manhattan,163,0.004529413399283075,2001 - 2005
jordan,161,0.004473837774751994,2001 - 2005
virginia,160,0.004446049962486453,2001 - 2005
soviet,159,0.004418262150220913,2001 - 2005
cuba,158,0.004390474337955373,2001 - 2005
india,150,0.00416817183983105,2001 - 2005
north korea,142,0.0039458693417067274,2001 - 2005
indonesia,141,0.003918081529441187,2001 - 2005
baghdad,138,0.003834718092644566,2001 - 2005
yemen,138,0.003834718092644566,2001 - 2005
jew,134,0.0037235668435824047,2001 - 2005
illinois,128,0.003556839969989163,2001 - 2005
new jersey,124,0.0034456887209270014,2001 - 2005
philadelphia,117,0.003251174035068219,2001 - 2005
oklahoma city,116,0.0032233862228026786,2001 - 2005
indian,115,0.0031955984105371386,2001 - 2005
morocco,111,0.003084447161474977,2001 - 2005
ohio,110,0.0030566593492094367,2001 - 2005
boston,110,0.0030566593492094367,2001 - 2005
jerusalem,107,0.002973295912412816,2001 - 2005
moscow,104,0.002889932475616195,2001 - 2005
fla,103,0.0028621446633506544,2001 - 2005
utah,101,0.002806569038819574,2001 - 2005
paris,100,0.0027787812265540335,2001 - 2005
mexico,99,0.002750993414288493,2001 - 2005
atlanta,99,0.002750993414288493,2001 - 2005
iowa,98,0.0027232056020229526,2001 - 2005
detroit,97,0.0026954177897574125,2001 - 2005
vietnam,96,0.002667629977491872,2001 - 2005
kenya,96,0.002667629977491872,2001 - 2005
arabic,93,0.002584266540695251,2001 - 2005
australia,92,0.0025564787284297107,2001 - 2005
missouri,91,0.0025286909161641702,2001 - 2005
georgia,90,0.0025009031038986302,2001 - 2005
libya,87,0.002417539667102009,2001 - 2005
the west bank,87,0.002417539667102009,2001 - 2005
africa,86,0.002389751854836469,2001 - 2005
turkey,83,0.002306388418039848,2001 - 2005
malaysia,80,0.0022230249812432265,2001 - 2005
gaza,79,0.0021952371689776865,2001 - 2005
kuwait,78,0.002167449356712146,2001 - 2005
asia,77,0.0021396615444466056,2001 - 2005
chechnya,76,0.0021118737321810656,2001 - 2005
algeria,74,0.0020562981076499847,2001 - 2005
michigan,71,0.0019729346708533637,2001 - 2005
the soviet union,70,0.0019451468585878235,2001 - 2005
islamist,69,0.001917359046322283,2001 - 2005
ireland,67,0.0018617834217912023,2001 - 2005
oregon,66,0.001833995609525662,2001 - 2005
west bank,66,0.001833995609525662,2001 - 2005
minnesota,65,0.0018062077972601216,2001 - 2005
kabul,64,0.0017784199849945814,2001 - 2005
somalia,64,0.0017784199849945814,2001 - 2005
doesn,63,0.001750632172729041,2001 - 2005
colombia,62,0.0017228443604635007,2001 - 2005
calif,62,0.0017228443604635007,2001 - 2005
minneapolis,62,0.0017228443604635007,2001 - 2005
san francisco,60,0.00166726873593242,2001 - 2005
maryland,59,0.0016394809236668798,2001 - 2005
miami,59,0.0016394809236668798,2001 - 2005
north carolina,57,0.001583905299135799,2001 - 2005
west virginia,57,0.001583905299135799,2001 - 2005
massachusetts,56,0.0015561174868702586,2001 - 2005
