place,count,count_normalized,label
United States,4657,0.14288782523318605,2011 - 2015
Iraq,921,0.028258468335787924,2011 - 2015
Afghanistan,820,0.025159548355424645,2011 - 2015
Syria,819,0.025128865979381444,2011 - 2015
Republican,706,0.021661757486499754,2011 - 2015
Pakistan,674,0.02067992145311733,2011 - 2015
Paris,488,0.014972999509081984,2011 - 2015
Britain,483,0.014819587628865979,2011 - 2015
France,472,0.014482081492390771,2011 - 2015
Iran,428,0.013132056946489936,2011 - 2015
Israel,427,0.013101374570446736,2011 - 2015
Russia,422,0.012947962690230732,2011 - 2015
Yemen,394,0.01208885616102111,2011 - 2015
Democrat,386,0.011843397152675503,2011 - 2015
Boston,383,0.0117513500245459,2011 - 2015
Egypt,370,0.01135247913598429,2011 - 2015
Islamist,341,0.010462690230731467,2011 - 2015
London,334,0.010247913598429062,2011 - 2015
Libya,323,0.009910407461953853,2011 - 2015
Obama,319,0.00978767795778105,2011 - 2015
Texas,311,0.009542218949435445,2011 - 2015
New York City,273,0.008376288659793814,2011 - 2015
Germany,263,0.008069464899361807,2011 - 2015
Europe,260,0.007977417771232204,2011 - 2015
Christian,252,0.007731958762886598,2011 - 2015
California,244,0.007486499754540992,2011 - 2015
China,242,0.00742513500245459,2011 - 2015
Manhattan,239,0.007333087874324988,2011 - 2015
Palestinian,239,0.007333087874324988,2011 - 2015
Jihadist,238,0.007302405498281787,2011 - 2015
Cuba,236,0.007241040746195386,2011 - 2015
Lebanon,230,0.007056946489936181,2011 - 2015
Chicago,225,0.0069035346097201765,2011 - 2015
Jewish,221,0.006780805105547374,2011 - 2015
Saudi Arabia,221,0.006780805105547374,2011 - 2015
Somalia,188,0.005768286696121748,2011 - 2015
Florida,168,0.005154639175257732,2011 - 2015
Los Angeles,164,0.005031909671084929,2011 - 2015
India,149,0.004571674030436917,2011 - 2015
Jordan,147,0.004510309278350515,2011 - 2015
Canada,145,0.004448944526264114,2011 - 2015
Virginia,137,0.004203485517918507,2011 - 2015
Soviet Union,130,0.003988708885616102,2011 - 2015
