place,count,count_normalized,label
United States,1545,0.15356326408905677,1986 - 1990
Israel,393,0.03906172348673094,1986 - 1990
Libya,379,0.03767021170857768,1986 - 1990
Lebanon,377,0.037471424311698635,1986 - 1990
Soviet Union,300,0.02981810953185568,1986 - 1990
Iran,297,0.029519928436537123,1986 - 1990
Palestinian,279,0.027730841864625783,1986 - 1990
Syria,266,0.026438723784912035,1986 - 1990
Britain,249,0.024749030911440213,1986 - 1990
France,243,0.0241526687208031,1986 - 1990
Europe,222,0.022065401053573203,1986 - 1990
Italy,172,0.017095716131597258,1986 - 1990
Rome,131,0.01302057449557698,1986 - 1990
Iraq,127,0.012622999701818904,1986 - 1990
West Germany,127,0.012622999701818904,1986 - 1990
Paris,127,0.012622999701818904,1986 - 1990
London,121,0.012026637511181791,1986 - 1990
Egypt,100,0.009939369843951893,1986 - 1990
West German,84,0.00834907066891959,1986 - 1990
Tripoli,83,0.008249676970480072,1986 - 1990
Vienna,82,0.008150283272040553,1986 - 1990
Japan,80,0.007951495875161516,1986 - 1990
Republican,80,0.007951495875161516,1986 - 1990
Jordan,76,0.0075539210814034394,1986 - 1990
Tokyo,74,0.007355133684524401,1986 - 1990
Jewish,74,0.007355133684524401,1986 - 1990
Damascus,72,0.007156346287645363,1986 - 1990
Moscow,65,0.0064605903985687305,1986 - 1990
Greece,65,0.0064605903985687305,1986 - 1990
Germany,64,0.006361196700129212,1986 - 1990
Spain,61,0.006063015604810655,1986 - 1990
Scotland,60,0.005963621906371136,1986 - 1990
Jerusalem,58,0.005764834509492099,1986 - 1990
West Berlin,57,0.005665440811052579,1986 - 1990
Kuwait,54,0.0053672597157340225,1986 - 1990
Jew,53,0.005267866017294504,1986 - 1990
Nicaragua,52,0.005168472318854984,1986 - 1990
Saudi Arabia,47,0.00467150382665739,1986 - 1990
Geneva,47,0.00467150382665739,1986 - 1990
The West Bank,45,0.004472716429778352,1986 - 1990
Ireland,45,0.004472716429778352,1986 - 1990
Canada,44,0.004373322731338833,1986 - 1990
Afghanistan,43,0.0042739290328993144,1986 - 1990
Democrat,42,0.004174535334459795,1986 - 1990
West Bank,42,0.004174535334459795,1986 - 1990
South Africa,41,0.004075141636020276,1986 - 1990
Bonn,41,0.004075141636020276,1986 - 1990
Christian,40,0.003975747937580758,1986 - 1990
Colombia,37,0.0036775668422622007,1986 - 1990
Northern Ireland,34,0.0033793857469436436,1986 - 1990
Baghdad,32,0.003180598350064606,1986 - 1990
Algeria,32,0.003180598350064606,1986 - 1990
Berlin,32,0.003180598350064606,1986 - 1990
Los Angeles,31,0.003081204651625087,1986 - 1990
Cairo,31,0.003081204651625087,1986 - 1990
China,28,0.0027830235563065303,1986 - 1990
Russia,28,0.0027830235563065303,1986 - 1990
Western European,28,0.0027830235563065303,1986 - 1990
Florida,27,0.0026836298578670112,1986 - 1990
Cuba,27,0.0026836298578670112,1986 - 1990
India,26,0.002584236159427492,1986 - 1990
Frankfurt,26,0.002584236159427492,1986 - 1990
Gaza,25,0.002484842460987973,1986 - 1990
Belgium,24,0.0023854487625484546,1986 - 1990
Qaddafi,24,0.0023854487625484546,1986 - 1990
Lockerbie,24,0.0023854487625484546,1986 - 1990
Pakistan,24,0.0023854487625484546,1986 - 1990
Tel Aviv,24,0.0023854487625484546,1986 - 1990
Tunisia,23,0.0022860550641089356,1986 - 1990
Shiite,23,0.0022860550641089356,1986 - 1990
Democratic,23,0.0022860550641089356,1986 - 1990
Peru,22,0.0021866613656694165,1986 - 1990
California,22,0.0021866613656694165,1986 - 1990
West European,21,0.0020872676672298975,1986 - 1990
El Salvador,21,0.0020872676672298975,1986 - 1990
West Germans,21,0.0020872676672298975,1986 - 1990
North Korea,21,0.0020872676672298975,1986 - 1990
Madrid,21,0.0020872676672298975,1986 - 1990
Indian,21,0.0020872676672298975,1986 - 1990
Palestine,21,0.0020872676672298975,1986 - 1990
Teheran,21,0.0020872676672298975,1986 - 1990
Contra,20,0.001987873968790379,1986 - 1990
Marxist,20,0.001987873968790379,1986 - 1990
Sweden,19,0.0018884802703508599,1986 - 1990
New Jersey,19,0.0018884802703508599,1986 - 1990
Netherlands,19,0.0018884802703508599,1986 - 1990
Catholic,18,0.0017890865719113408,1986 - 1990
Gaza Strip,17,0.0016896928734718218,1986 - 1990
Saudi,17,0.0016896928734718218,1986 - 1990
Austria,17,0.0016896928734718218,1986 - 1990
Boston,17,0.0016896928734718218,1986 - 1990
South African,17,0.0016896928734718218,1986 - 1990
Vietnam,17,0.0016896928734718218,1986 - 1990
Africa,16,0.001590299175032303,1986 - 1990
Belfast,16,0.001590299175032303,1986 - 1990
Tehran,16,0.001590299175032303,1986 - 1990
Chicago,15,0.001490905476592784,1986 - 1990
Moslem,15,0.001490905476592784,1986 - 1990
Istanbul,14,0.0013915117781532651,1986 - 1990
Stockholm,14,0.0013915117781532651,1986 - 1990
Munich,14,0.0013915117781532651,1986 - 1990
East Germany,14,0.0013915117781532651,1986 - 1990
Yugoslavia,14,0.0013915117781532651,1986 - 1990
East Berlin,14,0.0013915117781532651,1986 - 1990
Latin American,14,0.0013915117781532651,1986 - 1990
England,13,0.001292118079713746,1986 - 1990
Poland,13,0.001292118079713746,1986 - 1990
Luxembourg,13,0.001292118079713746,1986 - 1990
Panama,13,0.001292118079713746,1986 - 1990
New York City,13,0.001292118079713746,1986 - 1990
Yemen,13,0.001292118079713746,1986 - 1990
Korea,13,0.001292118079713746,1986 - 1990
Mexico,13,0.001292118079713746,1986 - 1990
West Europeans,13,0.001292118079713746,1986 - 1990
Karachi,13,0.001292118079713746,1986 - 1990
Switzerland,13,0.001292118079713746,1986 - 1990
Armenia,12,0.0011927243812742273,1986 - 1990
Turkey,12,0.0011927243812742273,1986 - 1990
Pro Iranian,12,0.0011927243812742273,1986 - 1990
Indonesia,12,0.0011927243812742273,1986 - 1990
North African,12,0.0011927243812742273,1986 - 1990
Texas,12,0.0011927243812742273,1986 - 1990
South Korea,12,0.0011927243812742273,1986 - 1990
Communist,12,0.0011927243812742273,1986 - 1990
Arabic,12,0.0011927243812742273,1986 - 1990
Medellin,11,0.0010933306828347083,1986 - 1990
English,11,0.0010933306828347083,1986 - 1990
Portugal,11,0.0010933306828347083,1986 - 1990
Manhattan,11,0.0010933306828347083,1986 - 1990
Malta,11,0.0010933306828347083,1986 - 1990
West Berlin Discotheque,11,0.0010933306828347083,1986 - 1990
Hungary,10,0.0009939369843951894,1986 - 1990
Socialist,10,0.0009939369843951894,1986 - 1990
Basque,10,0.0009939369843951894,1986 - 1990
Morocco,10,0.0009939369843951894,1986 - 1990
The Gaza Strip,10,0.0009939369843951894,1986 - 1990
Atlanta,9,0.0008945432859556704,1986 - 1990
Brussels,9,0.0008945432859556704,1986 - 1990
Czechoslovakia,9,0.0008945432859556704,1986 - 1990
Fla,9,0.0008945432859556704,1986 - 1990
Kansas,9,0.0008945432859556704,1986 - 1990
East German,9,0.0008945432859556704,1986 - 1990
Illinois,8,0.0007951495875161515,1986 - 1990
Miami,8,0.0007951495875161515,1986 - 1990
Alaska,8,0.0007951495875161515,1986 - 1990
Amman,8,0.0007951495875161515,1986 - 1990
Nazi,8,0.0007951495875161515,1986 - 1990
Vermont,8,0.0007951495875161515,1986 - 1990
Lima,8,0.0007951495875161515,1986 - 1990
Asia,8,0.0007951495875161515,1986 - 1990
South Yemen,7,0.0006957558890766326,1986 - 1990
Warsaw,7,0.0006957558890766326,1986 - 1990
Pretoria,7,0.0006957558890766326,1986 - 1990
San Francisco,7,0.0006957558890766326,1986 - 1990
South Korean,7,0.0006957558890766326,1986 - 1990
Zionist,7,0.0006957558890766326,1986 - 1990
Grenada,7,0.0006957558890766326,1986 - 1990
Mecca,7,0.0006957558890766326,1986 - 1990
Khartoum,7,0.0006957558890766326,1986 - 1990
Romania,7,0.0006957558890766326,1986 - 1990
Bogota,7,0.0006957558890766326,1986 - 1990
A United States,7,0.0006957558890766326,1986 - 1990
Lieut,7,0.0006957558890766326,1986 - 1990
Indiana,7,0.0006957558890766326,1986 - 1990
North Carolina,7,0.0006957558890766326,1986 - 1990
Malaysia,7,0.0006957558890766326,1986 - 1990
Connecticut,7,0.0006957558890766326,1986 - 1990
Bulgaria,7,0.0006957558890766326,1986 - 1990
Calif,7,0.0006957558890766326,1986 - 1990
Pennsylvania,7,0.0006957558890766326,1986 - 1990
