place,count,count_normalized,label
United States,4545,0.15143437843601107,2006 - 2010
Afghanistan,1089,0.03628427681338087,2006 - 2010
Iraq,1079,0.035951087861926495,2006 - 2010
Pakistan,926,0.03085329690467464,2006 - 2010
Republican,648,0.02159064405424316,2006 - 2010
Britain,616,0.020524439409589177,2006 - 2010
Israel,521,0.017359144370772666,2006 - 2010
Democrat,486,0.016192983040682372,2006 - 2010
London,470,0.01565988071835538,2006 - 2010
Iran,450,0.01499350281544664,2006 - 2010
Palestinian,343,0.011428381034884883,2006 - 2010
Cuba,317,0.010562089761103522,2006 - 2010
India,309,0.010295538599940026,2006 - 2010
Yemen,290,0.009662479592176724,2006 - 2010
Texas,253,0.008429680471795556,2006 - 2010
New York City,235,0.00782994035917769,2006 - 2010
Germany,230,0.007663345883450505,2006 - 2010
Islamist,230,0.007663345883450505,2006 - 2010
Egypt,226,0.007530070302868757,2006 - 2010
France,226,0.007530070302868757,2006 - 2010
Chicago,225,0.00749675140772332,2006 - 2010
Russia,219,0.007296838036850698,2006 - 2010
Lebanon,217,0.007230200246559824,2006 - 2010
Manhattan,215,0.00716356245626895,2006 - 2010
Europe,214,0.007130243561123513,2006 - 2010
Indian,205,0.006830373504814581,2006 - 2010
Mumbai,204,0.006797054609669144,2006 - 2010
Obama,203,0.006763735714523707,2006 - 2010
Democratic,189,0.0062972711824875885,2006 - 2010
Detroit,188,0.0062639522873421515,2006 - 2010
Canada,184,0.0061306767067604035,2006 - 2010
Saudi Arabia,177,0.005897444440742345,2006 - 2010
Syria,176,0.005864125545596908,2006 - 2010
China,173,0.005764168860160597,2006 - 2010
Florida,170,0.005664212174724286,2006 - 2010
North Korea,158,0.005264385432979042,2006 - 2010
Virginia,154,0.005131109852397294,2006 - 2010
Christian,154,0.005131109852397294,2006 - 2010
Soviet Union,151,0.005031153166960983,2006 - 2010
California,143,0.004764602005797488,2006 - 2010
Jewish,141,0.004697964215506614,2006 - 2010
Spain,140,0.004664645320361177,2006 - 2010
Jihadist,139,0.00463132642521574,2006 - 2010
Jordan,136,0.004531369739779429,2006 - 2010
Los Angeles,124,0.004131542998034185,2006 - 2010
Islamabad,124,0.004131542998034185,2006 - 2010
Pennsylvania,119,0.003964948522307,2006 - 2010
Japan,114,0.0037983540465798154,2006 - 2010
Somalia,112,0.0037317162562889414,2006 - 2010
Saudi,111,0.0036983973611435044,2006 - 2010
Nigeria,109,0.0036317595708526304,2006 - 2010
Illinois,105,0.003498483990270883,2006 - 2010
New Jersey,105,0.003498483990270883,2006 - 2010
Philadelphia,104,0.003465165095125446,2006 - 2010
Miami,104,0.003465165095125446,2006 - 2010
Indonesia,103,0.003431846199980009,2006 - 2010
Australia,103,0.003431846199980009,2006 - 2010
