place,count,count_normalized,label
United States,1792,0.14686117029995083,1996 - 2000
Israel,429,0.03515817079167349,1996 - 2000
Palestinian,291,0.023848549418128175,1996 - 2000
Iran,270,0.022127520078675626,1996 - 2000
Afghanistan,239,0.019586952958531387,1996 - 2000
Kenya,202,0.016554663169972134,1996 - 2000
Libya,195,0.015980986723487953,1996 - 2000
Iraq,193,0.015817079167349615,1996 - 2000
Britain,187,0.0153253564989346,1996 - 2000
Saudi Arabia,186,0.015243402720865431,1996 - 2000
Republican,184,0.015079495164727093,1996 - 2000
Tanzania,170,0.013932142271758728,1996 - 2000
Russia,167,0.013686280937551221,1996 - 2000
Saudi,160,0.013112604491067038,1996 - 2000
Lebanon,157,0.01286674315685953,1996 - 2000
Atlanta,150,0.012293066710375349,1996 - 2000
Egypt,150,0.012293066710375349,1996 - 2000
Syria,142,0.011637436485821996,1996 - 2000
Pakistan,136,0.011145713817406982,1996 - 2000
France,134,0.010981806261268644,1996 - 2000
Germany,126,0.010326176036715293,1996 - 2000
Jerusalem,118,0.009670545812161941,1996 - 2000
Soviet Union,114,0.009342730699885265,1996 - 2000
Jewish,114,0.009342730699885265,1996 - 2000
Canada,111,0.009096869365677758,1996 - 2000
Japan,106,0.008687100475331912,1996 - 2000
Cuba,95,0.007785608916571054,1996 - 2000
Scotland,94,0.007703655138501885,1996 - 2000
Sudan,91,0.007457793804294378,1996 - 2000
Democrat,86,0.007048024913948533,1996 - 2000
Algeria,84,0.006884117357810195,1996 - 2000
Europe,82,0.006720209801671857,1996 - 2000
London,82,0.006720209801671857,1996 - 2000
The West Bank,77,0.0063104409113260125,1996 - 2000
Utah,75,0.0061465333551876744,1996 - 2000
North Korea,75,0.0061465333551876744,1996 - 2000
Christian,73,0.005982625799049336,1996 - 2000
Paris,71,0.005818718242910998,1996 - 2000
Tokyo,70,0.005736764464841829,1996 - 2000
Lockerbie,69,0.00565481068677266,1996 - 2000
Italy,69,0.00565481068677266,1996 - 2000
Jordan,65,0.005326995574495984,1996 - 2000
Northern Ireland,63,0.005163088018357647,1996 - 2000
Nairobi,62,0.005081134240288478,1996 - 2000
Los Angeles,60,0.0049172266841501396,1996 - 2000
India,57,0.004671365349942632,1996 - 2000
Yemen,57,0.004671365349942632,1996 - 2000
Texas,57,0.004671365349942632,1996 - 2000
China,56,0.004589411571873463,1996 - 2000
Moscow,54,0.004425504015735125,1996 - 2000
West Bank,52,0.004261596459596787,1996 - 2000
Jew,51,0.004179642681527618,1996 - 2000
East Africa,50,0.004097688903458449,1996 - 2000
Indian,50,0.004097688903458449,1996 - 2000
Manhattan,50,0.004097688903458449,1996 - 2000
Gaza,48,0.003933781347320112,1996 - 2000
Georgia,47,0.0038518275692509423,1996 - 2000
Ireland,46,0.0037698737911817733,1996 - 2000
Florida,46,0.0037698737911817733,1996 - 2000
New York City,45,0.0036879200131126047,1996 - 2000
Yugoslavia,42,0.0034420586789050975,1996 - 2000
Africa,42,0.0034420586789050975,1996 - 2000
Greece,39,0.0031961973446975904,1996 - 2000
Tel Aviv,39,0.0031961973446975904,1996 - 2000
Oklahoma,38,0.0031142435666284217,1996 - 2000
California,38,0.0031142435666284217,1996 - 2000
Virginia,37,0.0030322897885592527,1996 - 2000
Democratic,36,0.0029503360104900836,1996 - 2000
Spain,35,0.0028683822324209146,1996 - 2000
Chicago,33,0.0027044746762825765,1996 - 2000
Seattle,32,0.0026225208982134074,1996 - 2000
Kosovo,32,0.0026225208982134074,1996 - 2000
Pennsylvania,31,0.002540567120144239,1996 - 2000
The Gaza Strip,30,0.0024586133420750698,1996 - 2000
Fla,30,0.0024586133420750698,1996 - 2000
Idaho,30,0.0024586133420750698,1996 - 2000
Cairo,29,0.0023766595640059007,1996 - 2000
Turkey,28,0.0022947057859367317,1996 - 2000
Netherlands,27,0.0022127520078675626,1996 - 2000
Albania,27,0.0022127520078675626,1996 - 2000
Colombia,26,0.0021307982297983936,1996 - 2000
Serbia,26,0.0021307982297983936,1996 - 2000
Bosnia,26,0.0021307982297983936,1996 - 2000
Gaza Strip,25,0.0020488444517292245,1996 - 2000
Arabic,25,0.0020488444517292245,1996 - 2000
Vermont,25,0.0020488444517292245,1996 - 2000
Ohio,25,0.0020488444517292245,1996 - 2000
Kuwait,25,0.0020488444517292245,1996 - 2000
New Jersey,24,0.001966890673660056,1996 - 2000
Munich,24,0.001966890673660056,1996 - 2000
Peru,24,0.001966890673660056,1996 - 2000
Oregon,23,0.0018849368955908866,1996 - 2000
Denver,23,0.0018849368955908866,1996 - 2000
Tehran,23,0.0018849368955908866,1996 - 2000
Chechen,23,0.0018849368955908866,1996 - 2000
Chechnya,22,0.0018029831175217178,1996 - 2000
Doesn,21,0.0017210293394525488,1996 - 2000
Sudanese,21,0.0017210293394525488,1996 - 2000
Miami,20,0.0016390755613833797,1996 - 2000
West Virginia,20,0.0016390755613833797,1996 - 2000
Boston,20,0.0016390755613833797,1996 - 2000
Calif,19,0.0015571217833142109,1996 - 2000
Qatar,19,0.0015571217833142109,1996 - 2000
Arizona,19,0.0015571217833142109,1996 - 2000
Dallas,18,0.0014751680052450418,1996 - 2000
Berlin,18,0.0014751680052450418,1996 - 2000
San Francisco,18,0.0014751680052450418,1996 - 2000
Khartoum,18,0.0014751680052450418,1996 - 2000
Islamabad,18,0.0014751680052450418,1996 - 2000
Riyadh,18,0.0014751680052450418,1996 - 2000
Kurdish,18,0.0014751680052450418,1996 - 2000
Korea,17,0.0013932142271758728,1996 - 2000
Rome,17,0.0013932142271758728,1996 - 2000
Hebron,17,0.0013932142271758728,1996 - 2000
Montana,17,0.0013932142271758728,1996 - 2000
Philadelphia,17,0.0013932142271758728,1996 - 2000
Illinois,17,0.0013932142271758728,1996 - 2000
Nazi,17,0.0013932142271758728,1996 - 2000
Sri Lanka,17,0.0013932142271758728,1996 - 2000
Somalia,16,0.0013112604491067037,1996 - 2000
Maryland,16,0.0013112604491067037,1996 - 2000
East Jerusalem,16,0.0013112604491067037,1996 - 2000
Salt Lake City,16,0.0013112604491067037,1996 - 2000
Mexico,16,0.0013112604491067037,1996 - 2000
Calif   ,16,0.0013112604491067037,1996 - 2000
Michigan,15,0.0012293066710375349,1996 - 2000
Belgrade,15,0.0012293066710375349,1996 - 2000
Kabul,15,0.0012293066710375349,1996 - 2000
Ramallah,15,0.0012293066710375349,1996 - 2000
Clarksburg,15,0.0012293066710375349,1996 - 2000
North Carolina,15,0.0012293066710375349,1996 - 2000
Catholic,14,0.0011473528929683658,1996 - 2000
Tripoli,14,0.0011473528929683658,1996 - 2000
Aden,14,0.0011473528929683658,1996 - 2000
Pittsburgh,14,0.0011473528929683658,1996 - 2000
Marxist,14,0.0011473528929683658,1996 - 2000
Dagestan,14,0.0011473528929683658,1996 - 2000
Birmingham,14,0.0011473528929683658,1996 - 2000
Australia,13,0.0010653991148991968,1996 - 2000
Waco,13,0.0010653991148991968,1996 - 2000
Arlington,13,0.0010653991148991968,1996 - 2000
Sharm El,13,0.0010653991148991968,1996 - 2000
English,12,0.000983445336830028,1996 - 2000
The United Arab Emirates,12,0.000983445336830028,1996 - 2000
Sharm El Sheik  ,12,0.000983445336830028,1996 - 2000
The United Kingdom,12,0.000983445336830028,1996 - 2000
Colorado,12,0.000983445336830028,1996 - 2000
South Korea,12,0.000983445336830028,1996 - 2000
Milwaukee,12,0.000983445336830028,1996 - 2000
South Africa,12,0.000983445336830028,1996 - 2000
Asia,11,0.0009014915587608589,1996 - 2000
Vietnam,11,0.0009014915587608589,1996 - 2000
Sandpoint,11,0.0009014915587608589,1996 - 2000
West Orange  N,11,0.0009014915587608589,1996 - 2000
North Korean,11,0.0009014915587608589,1996 - 2000
Arkansas,11,0.0009014915587608589,1996 - 2000
Brooklyn,11,0.0009014915587608589,1996 - 2000
British Columbia,11,0.0009014915587608589,1996 - 2000
Missouri,11,0.0009014915587608589,1996 - 2000
Indiana,11,0.0009014915587608589,1996 - 2000
Anti American,11,0.0009014915587608589,1996 - 2000
Palestine,11,0.0009014915587608589,1996 - 2000
Maine,10,0.0008195377806916899,1996 - 2000
Pyongyang,10,0.0008195377806916899,1996 - 2000
Amman,10,0.0008195377806916899,1996 - 2000
Switzerland,10,0.0008195377806916899,1996 - 2000
Lima,10,0.0008195377806916899,1996 - 2000
Taiwan,10,0.0008195377806916899,1996 - 2000
Communist,10,0.0008195377806916899,1996 - 2000
Iowa,10,0.0008195377806916899,1996 - 2000
Wisconsin,10,0.0008195377806916899,1996 - 2000
Houston,10,0.0008195377806916899,1996 - 2000
Brussels,10,0.0008195377806916899,1996 - 2000
Malaysia,10,0.0008195377806916899,1996 - 2000
Nevada,10,0.0008195377806916899,1996 - 2000
Indonesia,10,0.0008195377806916899,1996 - 2000
Athens,10,0.0008195377806916899,1996 - 2000
Baghdad,10,0.0008195377806916899,1996 - 2000
Madrid,10,0.0008195377806916899,1996 - 2000
Damascus,9,0.0007375840026225209,1996 - 2000
Haiti,9,0.0007375840026225209,1996 - 2000
Montreal,9,0.0007375840026225209,1996 - 2000
Tampa,9,0.0007375840026225209,1996 - 2000
England,9,0.0007375840026225209,1996 - 2000
Frankfurt,9,0.0007375840026225209,1996 - 2000
Basque,9,0.0007375840026225209,1996 - 2000
Massachusetts,9,0.0007375840026225209,1996 - 2000
Norway,8,0.0006556302245533519,1996 - 2000
North African,8,0.0006556302245533519,1996 - 2000
Orlando,8,0.0006556302245533519,1996 - 2000
Delaware,8,0.0006556302245533519,1996 - 2000
Belgium,8,0.0006556302245533519,1996 - 2000
Beije,8,0.0006556302245533519,1996 - 2000
Argentina,8,0.0006556302245533519,1996 - 2000
Karachi,8,0.0006556302245533519,1996 - 2000
Bethlehem,7,0.0005736764464841829,1996 - 2000
Minnesota,7,0.0005736764464841829,1996 - 2000
Morocco,7,0.0005736764464841829,1996 - 2000
The  United States,7,0.0005736764464841829,1996 - 2000
South Korean,7,0.0005736764464841829,1996 - 2000
Islamist,7,0.0005736764464841829,1996 - 2000
Belfast,7,0.0005736764464841829,1996 - 2000
Va,7,0.0005736764464841829,1996 - 2000
Md   ,7,0.0005736764464841829,1996 - 2000
Dutch,7,0.0005736764464841829,1996 - 2000
Baltimore,7,0.0005736764464841829,1996 - 2000
Cleveland,7,0.0005736764464841829,1996 - 2000
Phoenix,7,0.0005736764464841829,1996 - 2000
Dublin,7,0.0005736764464841829,1996 - 2000
Las Vegas,7,0.0005736764464841829,1996 - 2000
Geneva,7,0.0005736764464841829,1996 - 2000
Luxor,7,0.0005736764464841829,1996 - 2000
Socialist,7,0.0005736764464841829,1996 - 2000
Uganda,7,0.0005736764464841829,1996 - 2000
East African,6,0.000491722668415014,1996 - 2000
Reno,6,0.000491722668415014,1996 - 2000
Ku,6,0.000491722668415014,1996 - 2000
Bronx,6,0.000491722668415014,1996 - 2000
Havana,6,0.000491722668415014,1996 - 2000
Detroit,6,0.000491722668415014,1996 - 2000
Austria,6,0.000491722668415014,1996 - 2000
Sacramento,6,0.000491722668415014,1996 - 2000
Minneapolis,6,0.000491722668415014,1996 - 2000
Kentucky,6,0.000491722668415014,1996 - 2000
Alaska,6,0.000491722668415014,1996 - 2000
Alexandria,6,0.000491722668415014,1996 - 2000
Centennial Park,6,0.000491722668415014,1996 - 2000
Luxembourg,6,0.000491722668415014,1996 - 2000
Hawaii,6,0.000491722668415014,1996 - 2000
Sharm El Sheikh  ,6,0.000491722668415014,1996 - 2000
Kansas,6,0.000491722668415014,1996 - 2000
Kazakhstan,6,0.000491722668415014,1996 - 2000
Tajikistan,6,0.000491722668415014,1996 - 2000
Rwanda,6,0.000491722668415014,1996 - 2000
Latin,6,0.000491722668415014,1996 - 2000
Richmond,6,0.000491722668415014,1996 - 2000
New Hampshire,6,0.000491722668415014,1996 - 2000
Gaza City,6,0.000491722668415014,1996 - 2000
Allegheny County,6,0.000491722668415014,1996 - 2000
Alabama,6,0.000491722668415014,1996 - 2000
North Africa,6,0.000491722668415014,1996 - 2000
Rican,6,0.000491722668415014,1996 - 2000
Nunn,6,0.000491722668415014,1996 - 2000
San Diego,6,0.000491722668415014,1996 - 2000
Saudi Arabian,6,0.000491722668415014,1996 - 2000
Zionist,6,0.000491722668415014,1996 - 2000
Seoul,5,0.0004097688903458449,1996 - 2000
Conn   ,5,0.0004097688903458449,1996 - 2000
Kurd,5,0.0004097688903458449,1996 - 2000
Victoria  British Columbia,5,0.0004097688903458449,1996 - 2000
Albany,5,0.0004097688903458449,1996 - 2000
New Orleans,5,0.0004097688903458449,1996 - 2000
Ottawa,5,0.0004097688903458449,1996 - 2000
Henderson,5,0.0004097688903458449,1996 - 2000
Portugal,5,0.0004097688903458449,1996 - 2000
Annapolis,5,0.0004097688903458449,1996 - 2000
Oman,5,0.0004097688903458449,1996 - 2000
Shinrikyo,5,0.0004097688903458449,1996 - 2000
Charlotte,5,0.0004097688903458449,1996 - 2000
Mississippi,5,0.0004097688903458449,1996 - 2000
The Islamic Republic Of,5,0.0004097688903458449,1996 - 2000
Serbian Americans,5,0.0004097688903458449,1996 - 2000
Azerbaijan,5,0.0004097688903458449,1996 - 2000
New Zealand,5,0.0004097688903458449,1996 - 2000
The United States Of America,5,0.0004097688903458449,1996 - 2000
Columbus,5,0.0004097688903458449,1996 - 2000
Bilbao,5,0.0004097688903458449,1996 - 2000
Xinjiang,5,0.0004097688903458449,1996 - 2000
New Mexico,5,0.0004097688903458449,1996 - 2000
Teheran,5,0.0004097688903458449,1996 - 2000
Armenia,5,0.0004097688903458449,1996 - 2000
Nablus,5,0.0004097688903458449,1996 - 2000
Stalinist,4,0.00032781511227667593,1996 - 2000
Sydney,4,0.00032781511227667593,1996 - 2000
Istanbul,4,0.00032781511227667593,1996 - 2000
Tennessee,4,0.00032781511227667593,1996 - 2000
South American,4,0.00032781511227667593,1996 - 2000
Kyrgyzstan,4,0.00032781511227667593,1996 - 2000
North Koreans,4,0.00032781511227667593,1996 - 2000
Bahamas,4,0.00032781511227667593,1996 - 2000
Minn,4,0.00032781511227667593,1996 - 2000
Columbia,4,0.00032781511227667593,1996 - 2000
New Delhi,4,0.00032781511227667593,1996 - 2000
Ocalan,4,0.00032781511227667593,1996 - 2000
East Timor,4,0.00032781511227667593,1996 - 2000
Dharan,4,0.00032781511227667593,1996 - 2000
A United States,4,0.00032781511227667593,1996 - 2000
Jacksonville,4,0.00032781511227667593,1996 - 2000
Charleston,4,0.00032781511227667593,1996 - 2000
Santa Monica,4,0.00032781511227667593,1996 - 2000
Ethiopia,4,0.00032781511227667593,1996 - 2000
North American,4,0.00032781511227667593,1996 - 2000
Sinhalese,4,0.00032781511227667593,1996 - 2000
Macedonia,4,0.00032781511227667593,1996 - 2000
Austin,4,0.00032781511227667593,1996 - 2000
Mich   ,4,0.00032781511227667593,1996 - 2000
Burma,4,0.00032781511227667593,1996 - 2000
St  Louis,4,0.00032781511227667593,1996 - 2000
Panama,4,0.00032781511227667593,1996 - 2000
Barcelona,4,0.00032781511227667593,1996 - 2000
Malta,4,0.00032781511227667593,1996 - 2000
Kashmir,4,0.00032781511227667593,1996 - 2000
Salt Lake,4,0.00032781511227667593,1996 - 2000
Jean,4,0.00032781511227667593,1996 - 2000
Sean,4,0.00032781511227667593,1996 - 2000
South Asian,4,0.00032781511227667593,1996 - 2000
Portland,4,0.00032781511227667593,1996 - 2000
Oakland,4,0.00032781511227667593,1996 - 2000
Tunisia,4,0.00032781511227667593,1996 - 2000
Saudi Arabia  ,4,0.00032781511227667593,1996 - 2000
Quebec,3,0.000245861334207507,1996 - 2000
San Antonio,3,0.000245861334207507,1996 - 2000
Soviet Republic,3,0.000245861334207507,1996 - 2000
Preston County,3,0.000245861334207507,1996 - 2000
Bolivia,3,0.000245861334207507,1996 - 2000
Thailand,3,0.000245861334207507,1996 - 2000
Republic,3,0.000245861334207507,1996 - 2000
Chile,3,0.000245861334207507,1996 - 2000
San Jose,3,0.000245861334207507,1996 - 2000
Nigeria,3,0.000245861334207507,1996 - 2000
Indianapolis,3,0.000245861334207507,1996 - 2000
Haouri,3,0.000245861334207507,1996 - 2000
Vancouver,3,0.000245861334207507,1996 - 2000
Toronto,3,0.000245861334207507,1996 - 2000
Quranic,3,0.000245861334207507,1996 - 2000
Yakima,3,0.000245861334207507,1996 - 2000
Western European,3,0.000245861334207507,1996 - 2000
Smyrna,3,0.000245861334207507,1996 - 2000
Tippecanoe County,3,0.000245861334207507,1996 - 2000
Tenn   ,3,0.000245861334207507,1996 - 2000
Kuwait City,3,0.000245861334207507,1996 - 2000
San Sebastian,3,0.000245861334207507,1996 - 2000
Nitroglycerin,3,0.000245861334207507,1996 - 2000
Stockholm,3,0.000245861334207507,1996 - 2000
Christianity,3,0.000245861334207507,1996 - 2000
Latin American,3,0.000245861334207507,1996 - 2000
Afghan Arabs,3,0.000245861334207507,1996 - 2000
Jalalabad,3,0.000245861334207507,1996 - 2000
Jammu,3,0.000245861334207507,1996 - 2000
Kandahar,3,0.000245861334207507,1996 - 2000
South Koreans,3,0.000245861334207507,1996 - 2000
Saudi Arabia  Turkey,3,0.000245861334207507,1996 - 2000
Victoria,3,0.000245861334207507,1996 - 2000
Uzbekistan,3,0.000245861334207507,1996 - 2000
Shiite,3,0.000245861334207507,1996 - 2000
Madison,3,0.000245861334207507,1996 - 2000
Brazil,3,0.000245861334207507,1996 - 2000
