Topic,Words,Frequency,Timestamp
-1,"soviet, france, mr, politics, terrorist",0.0015564115704666886,1979.96
0,"israel, palestinian, arab, lebanon, arafat",0.0005772122380538712,1979.96
1,"naxalite, zia, pakistan, landless, hijack",4.122944557527652e-05,1979.96
2,"iraq, baghdad, hussein, azzawi, iran",2.061472278763826e-05,1979.96
4,"denton, senator, casey, amato, search",2.061472278763826e-05,1979.96
5,"britain, london, yard, pertini, police",1.030736139381913e-05,1979.96
6,"iran, reagan, soviet, haig, intelligence",0.000319528203208393,1979.96
8,"libya, qaddafi, colonel, oil, reagan",0.000319528203208393,1979.96
9,"film, desideria, fassbinder, novel, amble",8.245889115055304e-05,1979.96
11,"klan, hine, wilkinson, klansmen, civiletti",1.030736139381913e-05,1979.96
12,"jingle, laqueur, virus, soviet, terrorist",4.122944557527652e-05,1979.96
13,"gribetz, rockland, robbery, indict, degree",1.030736139381913e-05,1979.96
14,"kislik, physicist, russia, argentina, sevilla",1.030736139381913e-05,1979.96
15,"france, defferre, paris, badinter, mitterrand",6.184416836291478e-05,1979.96
18,"puerto, rican, bomb, rico, diamond",0.0001030736139381913,1979.96
19,"bureau, abscam, webster, williams, investigate",2.061472278763826e-05,1979.96
20,"vesco, bribery, subcommittee, multimillion, bribe",1.030736139381913e-05,1979.96
23,"assad, syria, moslem, brotherhood, haig",2.061472278763826e-05,1979.96
26,"hostage, iran, family, honsowitz, us",7.21515297567339e-05,1979.96
28,"ireland, northern, ira, britain, ulster",0.0003092208418145739,1979.96
30,"turkey, armenia, ankara, demirel, ecevit",0.00036075764878366954,1979.96
32,"basque, spain, eta, madrid, sotelo",0.00022676195066402086,1979.96
33,"nuclear, nest, uranium, device, weapon",4.122944557527652e-05,1979.96
35,"quebec, canada, provincial, trudeau, duchaine",1.030736139381913e-05,1979.96
41,"mahler, germany, karry, heinz, west",4.122944557527652e-05,1979.96
42,"moslem, indonesia, suharto, hijack, sudomo",1.030736139381913e-05,1979.96
43,"nato, madrid, soviet, notification, conference",1.030736139381913e-05,1979.96
50,"italy, brigade, red, rome, moro",0.0003813723715713078,1979.96
51,"padilla, defendant, margoli, mcmillen, chicago",1.030736139381913e-05,1979.96
53,"chile, salvador, nicaragua, honduras, salvadoran",0.0002576840348454782,1979.96
55,"human, rights, lefever, policy, annan",2.061472278763826e-05,1979.96
57,"convention, kennedy, koch, delegate, democratic",1.030736139381913e-05,1979.96
60,"cuba, havana, castro, salvador, states",1.030736139381913e-05,1979.96
63,"embassy, takeover, dominican, colombia, bogota",1.030736139381913e-05,1979.96
65,"peru, schumacher, belaunde, guerrilla, fernando",3.092208418145739e-05,1979.96
69,"pope, vatican, polish, cardinal, walesa",3.092208418145739e-05,1979.96
71,"africa, south, black, namibia, aggett",0.00019583986648256347,1979.96
72,"air, force, study, century, rumsfeld",1.030736139381913e-05,1979.96
73,"marco, philippines, aquino, philippine, manila",6.184416836291478e-05,1979.96
90,"bank, privacy, schwartz, customer, athowe",1.030736139381913e-05,1979.96
92,"jordan, khaddam, syria, amman, confrontation",1.030736139381913e-05,1979.96
95,"orlow, letter, yasushi, editor, frieda",3.092208418145739e-05,1979.96
101,"croatia, yugoslavia, serbia, bosnia, belgrade",1.030736139381913e-05,1979.96
103,"argentina, military, esquivel, timerman, peronist",9.276625254437216e-05,1979.96
107,"god, love, spiritual, divine, fearless",1.030736139381913e-05,1979.96
116,"jersey, waste, byrne, swastika, teaneck",1.030736139381913e-05,1979.96
118,"tekere, zimbabwe, mugabe, bennett, minister",6.184416836291478e-05,1979.96
124,"soviet, union, denton, webster, haig",6.184416836291478e-05,1979.96
142,"export, fcia, product, holden, exporter",1.030736139381913e-05,1979.96
-1,"lebanon, shultz, reagan, america, mr",0.0009448674433538207,1982.0
0,"israel, arab, palestinian, jewish, bank",0.0004311531052197046,1982.0
1,"sikh, punjab, gandhi, india, pakistan",0.00014677552518117603,1982.0
2,"iraq, us, formal, resumption, tie",9.173470323823502e-06,1982.0
4,"marijuana, legalize, drug, narcodollar, farmer",9.173470323823502e-06,1982.0
5,"britain, london, accompany, prime, minister",1.8346940647647004e-05,1982.0
6,"reagan, iran, lebanon, soviet, administration",0.0002843775800385286,1982.0
8,"libya, qaddafi, malta, britain, colonel",0.00011008164388588202,1982.0
9,"nbc, film, viewer, carre, disclaimer",4.586735161911751e-05,1982.0
11,"clinic, abortion, webster, bureau, violence",6.421429226676452e-05,1982.0
12,"society, violence, salvador, squad, thus",2.7520410971470506e-05,1982.0
15,"france, paris, mitterrand, iran, teheran",3.669388129529401e-05,1982.0
16,"corporation, robot, westchester, grumman, precaution",9.173470323823502e-06,1982.0
17,"county, carbide, building, corporation, westchester",9.173470323823502e-06,1982.0
18,"webster, bureau, incident, group, bomb",4.586735161911751e-05,1982.0
19,"bureau, file, system, colwell, board",1.8346940647647004e-05,1982.0
23,"syria, marine, assad, gemayel, vice",1.8346940647647004e-05,1982.0
24,"polisario, morocco, summit, oau, mengistu",9.173470323823502e-06,1982.0
26,"embassy, marine, beirut, haig, personnel",9.173470323823502e-06,1982.0
27,"egypt, mubarak, libya, cairo, qaddafi",1.8346940647647004e-05,1982.0
28,"ireland, northern, ira, britain, extradite",0.00020181634712411706,1982.0
30,"armenia, turkey, turk, genocide, ankara",0.00014677552518117603,1982.0
31,"student, event, evans, preventive, leader",9.173470323823502e-06,1982.0
32,"basque, spain, eta, madrid, france",0.00013760205485735254,1982.0
33,"nuclear, space, defense, superterrorist, missile",2.7520410971470506e-05,1982.0
36,"perfume, grasse, artificial, flower, snow",9.173470323823502e-06,1982.0
41,"tet, schmidt, germany, perez, viet",9.173470323823502e-06,1982.0
43,"europe, common, market, nato, featherbed",9.173470323823502e-06,1982.0
45,"taiwan, garchik, chen, china, chiang",9.173470323823502e-06,1982.0
48,"matabeleland, nkomo, korea, brigade, province",9.173470323823502e-06,1982.0
50,"italy, brigade, red, dozy, rome",2.7520410971470506e-05,1982.0
52,"algeria, immigrant, frenchmen, france, mitterrand",9.173470323823502e-06,1982.0
53,"nicaragua, salvador, salvadoran, chile, el",0.0003027245206861756,1982.0
55,"human, rights, hundertwasser, assembly, annan",1.8346940647647004e-05,1982.0
57,"mondale, hart, campaign, missouri, democratic",9.173470323823502e-06,1982.0
60,"cuba, alarcon, grenada, island, travel",1.8346940647647004e-05,1982.0
61,"olympic, games, athlete, angeles, los",3.669388129529401e-05,1982.0
65,"lima, peru, guerrilla, ayacucho, cuzco",9.173470323823502e-06,1982.0
69,"pope, vatican, priest, guatemala, popieluszko",1.8346940647647004e-05,1982.0
70,"greece, athens, papandreou, shara, codling",5.504082194294101e-05,1982.0
71,"africa, south, toivo, black, pretoria",6.421429226676452e-05,1982.0
72,"marine, unconventional, rumsfeld, grenada, navy",9.173470323823502e-06,1982.0
73,"marco, philippines, opposition, cagayan, oro",1.8346940647647004e-05,1982.0
83,"mine, ship, sea, moor, bottom",9.173470323823502e-06,1982.0
87,"marine, lebanon, beirut, commander, commission",0.00023851022841941106,1982.0
90,"card, cards, bank, fraud, credit",9.173470323823502e-06,1982.0
95,"forgery, acheson, satisfy, convincing, editor",1.8346940647647004e-05,1982.0
98,"drug, marijuana, chapple, abuse, thc",1.8346940647647004e-05,1982.0
100,"tamil, lanka, sri, sinhalese, jayewardene",7.338776259058802e-05,1982.0
103,"argentina, alfonsin, peronist, peron, military",0.00014677552518117603,1982.0
107,"love, god, spiritual, bible, evil",9.173470323823502e-06,1982.0
113,"helicopter, egypt, mine, sea, rh",9.173470323823502e-06,1982.0
118,"zimbabwe, mugabe, matabeleland, bennett, rebel",2.7520410971470506e-05,1982.0
124,"tass, specter, soviet, arlen, considerng",9.173470323823502e-06,1982.0
131,"shultz, mr, reagan, speech, administration",4.586735161911751e-05,1982.0
-1,"libya, europe, terrorist, terrorism, us",0.0020069648093841643,1984.0
0,"israel, palestinian, arafat, arab, peace",0.00037573313782991204,1984.0
1,"sikh, pakistan, india, gandhi, minister",4.5821114369501466e-05,1984.0
3,"thatch, dallas, tenant, lunceford, mr",9.164222873900293e-06,1984.0
5,"treaty, extradite, britain, thatch, ira",1.8328445747800586e-05,1984.0
6,"iran, reagan, soviet, administration, mr",0.0004032258064516129,1984.0
8,"libya, qaddafi, reagan, colonel, europe",0.000687316715542522,1984.0
