Topic,Words,Frequency,Timestamp
-1,"turkey, soviet, france, politics, mr",0.001572358808849578,1979.96
0,"israel, palestinian, arab, lebanon, arafat",0.0004955312609707761,1979.96
3,"klan, hine, spartacist, liverpool, wilkinson",2.858834197908324e-05,1979.96
4,"zia, pakistan, haq, heroin, ul",1.905889465272216e-05,1979.96
7,"libya, qaddafi, colonel, reagan, oil",0.00032400120909627673,1979.96
8,"film, desideria, fassbinder, novel, amble",6.670613128452756e-05,1979.96
9,"britain, yard, pertini, london, scotland",9.52944732636108e-06,1979.96
10,"amato, holtzman, crime, funds, ahe",9.52944732636108e-06,1979.96
11,"iran, iraq, goldin, abadan, carter",1.905889465272216e-05,1979.96
13,"kislik, physicist, argentina, russia, sevilla",9.52944732636108e-06,1979.96
16,"assad, syria, moslem, brotherhood, haig",1.905889465272216e-05,1979.96
17,"reber, women, nypd, jones, result",9.52944732636108e-06,1979.96
18,"vesco, bribery, subcommittee, multimillion, bribe",9.52944732636108e-06,1979.96
20,"puerto, rican, rico, bomb, incident",8.576502593724972e-05,1979.96
21,"naxalite, landless, nadu, bengal, tamil",9.52944732636108e-06,1979.96
22,"moscow, salvador, borovik, soviet, laqueur",4.76472366318054e-05,1979.96
24,"jingle, virus, iliad, replicate, musical",9.52944732636108e-06,1979.96
29,"france, directe, paris, defferre, mitterrand",3.811778930544432e-05,1979.96
30,"ireland, northern, ira, britain, protestant",0.0002668245251381102,1979.96
31,"nuclear, nest, uranium, device, weapon",3.811778930544432e-05,1979.96
32,"basque, spain, eta, madrid, sotelo",0.0001905889465272216,1979.96
34,"quebec, canada, provincial, trudeau, duchaine",9.52944732636108e-06,1979.96
37,"moslem, indonesia, suharto, hijack, sudomo",9.52944732636108e-06,1979.96
38,"mahler, germany, baumann, karry, west",4.76472366318054e-05,1979.96
39,"iraq, baghdad, hussein, azzawi, supplier",1.905889465272216e-05,1979.96
41,"soviet, reagan, haig, intelligence, administration",0.00022870673583266592,1979.96
44,"italy, brigade, red, rome, moro",0.00036211899840172103,1979.96
45,"hostage, iran, honsowitz, kidnap, us",5.717668395816648e-05,1979.96
46,"bureau, abscam, webster, williams, fbi",9.52944732636108e-06,1979.96
51,"turkey, demirel, evren, ecevit, ankara",0.00022870673583266592,1979.96
52,"cuba, havana, skyjack, castro, salvador",1.905889465272216e-05,1979.96
60,"padilla, margoli, defendant, mcmillen, chicago",9.52944732636108e-06,1979.96
63,"salvador, chile, salvadoran, el, costa",0.00024776563048538807,1979.96
66,"peru, schumacher, belaunde, guerrilla, fernando",2.858834197908324e-05,1979.96
70,"sweden, khaddoumi, uppsala, deport, gc",9.52944732636108e-06,1979.96
76,"pope, vatican, polish, cardinal, walesa",2.858834197908324e-05,1979.96
80,"africa, south, black, aggett, namibia",0.00017153005187449944,1979.96
82,"marco, philippines, aquino, philippine, manila",5.717668395816648e-05,1979.96
83,"nato, madrid, soviet, notification, conference",9.52944732636108e-06,1979.96
99,"bank, privacy, schwartz, customer, athowe",9.52944732636108e-06,1979.96
109,"croatia, yugoslavia, serbia, bosnia, belgrade",9.52944732636108e-06,1979.96
110,"orlow, letter, yasushi, editor, frieda",2.858834197908324e-05,1979.96
113,"jordan, khaddam, syria, amman, confrontation",9.52944732636108e-06,1979.96
117,"argentina, esquivel, timerman, peronist, military",8.576502593724972e-05,1979.96
120,"god, love, spiritual, divine, fearless",9.52944732636108e-06,1979.96
137,"armenia, turkey, france, ottoman, turk",2.858834197908324e-05,1979.96
140,"human, rights, lefever, policy, roth",1.905889465272216e-05,1979.96
142,"nicaragua, somoza, aid, sandinist, managua",3.811778930544432e-05,1979.96
145,"tekere, mugabe, zimbabwe, bennett, bodyguard",5.717668395816648e-05,1979.96
172,"export, fcia, product, holden, exporter",9.52944732636108e-06,1979.96
182,"soviet, union, webster, haig, denton",3.811778930544432e-05,1979.96
183,"diamond, antwerp, nutkewitz, merchant, jewish",9.52944732636108e-06,1979.96
191,"bulgaria, agca, pope, italy, antonov",4.76472366318054e-05,1979.96
-1,"reagan, shultz, lebanon, mr, states",0.0009263701179467668,1982.0
0,"israel, arab, palestinian, jewish, bank",0.0003556599559974194,1982.0
7,"libya, qaddafi, malta, britain, colonel",0.0001240674265107277,1982.0
8,"nbc, film, viewer, carre, disclaimer",4.135580883690923e-05,1982.0
9,"whitelaw, viscount, howe, britain, geoffrey",8.271161767381846e-06,1982.0
10,"guidelines, bureau, rodino, compromise, infiltrate",8.271161767381846e-06,1982.0
11,"iran, outboard, aircraft, romberg, motor",1.6542323534763693e-05,1982.0
16,"syria, marine, assad, gemayel, vice",1.6542323534763693e-05,1982.0
17,"corporation, westchester, building, county, corporate",1.6542323534763693e-05,1982.0
18,"puerto, rican, bishop, moore, brooklyn",8.271161767381846e-06,1982.0
20,"webster, bureau, incident, group, bomb",3.3084647069527385e-05,1982.0
21,"sikh, punjab, gandhi, india, indian",0.0001240674265107277,1982.0
22,"violence, terrorist, must, society, terrorism",3.3084647069527385e-05,1982.0
23,"polisario, morocco, oau, summit, mengistu",8.271161767381846e-06,1982.0
24,"perfume, grasse, artificial, flower, snow",8.271161767381846e-06,1982.0
26,"egypt, mubarak, libya, cairo, qaddafi",1.6542323534763693e-05,1982.0
29,"france, paris, iran, teheran, mitterrand",2.481348530214554e-05,1982.0
30,"ireland, northern, ira, britain, ulster",0.00014888091181287322,1982.0
31,"nuclear, space, superterror, missile, superpower",1.6542323534763693e-05,1982.0
32,"basque, spain, eta, madrid, france",0.00013233858827810954,1982.0
33,"student, evans, event, preventive, conflict",8.271161767381846e-06,1982.0
38,"tet, schmidt, germany, perez, viet",8.271161767381846e-06,1982.0
39,"iraq, formal, resumption, us, tie",8.271161767381846e-06,1982.0
40,"olympic, games, athlete, angeles, los",4.135580883690923e-05,1982.0
41,"reagan, soviet, lebanon, administration, official",0.00019023672064978246,1982.0
44,"italy, brigade, red, dozy, rome",3.3084647069527385e-05,1982.0
45,"embassy, marine, hostage, beirut, haig",8.271161767381846e-06,1982.0
48,"mondale, hart, missouri, campaign, primary",8.271161767381846e-06,1982.0
51,"turkey, lab, jeri, evren, frightened",1.6542323534763693e-05,1982.0
52,"cuba, alarcon, grenada, estevez, island",2.481348530214554e-05,1982.0
53,"taiwan, garchik, chen, china, chiang",8.271161767381846e-06,1982.0
54,"matabeleland, nkomo, brigade, korea, province",8.271161767381846e-06,1982.0
57,"asencio, colombia, irvine, impair, reed",8.271161767381846e-06,1982.0
59,"contract, export, abrogate, trade, amendment",8.271161767381846e-06,1982.0
63,"salvador, salvadoran, chile, el, pinochet",0.00016542323534763693,1982.0
64,"betancur, assembly, annan, general, nation",1.6542323534763693e-05,1982.0
65,"clinic, abortion, webster, bureau, parenthood",5.789813237167292e-05,1982.0
66,"lima, peru, guerrilla, ayacucho, cuzco",8.271161767381846e-06,1982.0
75,"greece, athens, papandreou, shara, codling",4.962697060429108e-05,1982.0
76,"guatemala, pope, vatican, radio, nicaragua",8.271161767381846e-06,1982.0
80,"africa, south, toivo, black, namibia",6.616929413905477e-05,1982.0
81,"advisory, salvador, nicaragua, el, traveler",8.271161767381846e-06,1982.0
82,"marco, philippines, opposition, oro, cagayan",1.6542323534763693e-05,1982.0
83,"nato, europe, shultz, belgium, common",1.6542323534763693e-05,1982.0
85,"mine, ship, moor, sea, bottom",8.271161767381846e-06,1982.0
89,"algeria, immigrant, frenchmen, france, mitterrand",8.271161767381846e-06,1982.0
90,"marine, lebanon, beirut, commander, commission",0.0002315925294866917,1982.0
99,"card, cards, bank, fraud, credit",8.271161767381846e-06,1982.0
104,"drug, marijuana, chapple, abuse, thc",1.6542323534763693e-05,1982.0
110,"forgery, acheson, satisfy, convincing, handbook",1.6542323534763693e-05,1982.0
114,"tamil, lanka, sri, sinhalese, jayewardene",5.789813237167292e-05,1982.0
117,"argentina, alfonsin, peronist, peron, military",0.00013233858827810954,1982.0
120,"love, god, spiritual, bible, evil",8.271161767381846e-06,1982.0
130,"helicopter, mine, egypt, sea, rh",8.271161767381846e-06,1982.0
137,"armenia, turkey, genocide, turk, ottoman",0.000107525102975964,1982.0
140,"human, rights, hundertwasser, roth, postage",8.271161767381846e-06,1982.0
142,"nicaragua, sandinista, grenada, moynihan, contra",7.444045590643661e-05,1982.0
145,"mugabe, zimbabwe, matabeleland, rebel, mubako",1.6542323534763693e-05,1982.0
182,"tass, specter, soviet, arlen, bringng",8.271161767381846e-06,1982.0
184,"shultz, mr, pre, iran, emptive",3.3084647069527385e-05,1982.0
191,"bulgaria, agca, pope, ipekci, antonov",4.135580883690923e-05,1982.0
-1,"libya, europe, france, terrorist, us",0.002076960511679644,1984.0
0,"israel, palestinian, arafat, arab, peace",0.00029546718576195773,1984.0
1,"unjust, willkie, perpetuate, injustice, wendell",8.690211345939933e-06,1984.0
2,"survey, director, touche, bank, boards",8.690211345939933e-06,1984.0
