Topic,Words,Frequency,Class
68,"drug, partisan, opium, msnbc, narcotic",0.0032967032967032967,pittsburgh post-gazette
69,"padilla, hassoun, jayyousi, jose, dirty",0.004395604395604396,pittsburgh post-gazette
70,"lessure, palestinian, israel, hazo, peace",0.002197802197802198,pittsburgh post-gazette
71,"iran, lautenberg, asset, flatow, damage",0.002197802197802198,pittsburgh post-gazette
72,"iran, report, international, group, state",0.006593406593406593,pittsburgh post-gazette
73,"mccabe, killeen, fbi, inch, mohammad",0.001098901098901099,pittsburgh post-gazette
76,"colombia, drug, venezuela, colombian, maduro",0.004395604395604396,pittsburgh post-gazette
77,"convertino, department, detroit, justice, prosecution",0.005494505494505495,pittsburgh post-gazette
78,"bush, iraq, perle, war, president",0.008791208791208791,pittsburgh post-gazette
79,"blitzer, zapor, bombing, oklahoma, atf",0.002197802197802198,pittsburgh post-gazette
80,"liu, finland, saturday, wounded, turku",0.001098901098901099,pittsburgh post-gazette
82,"israeli, lebanese, israel, lebanon, palestinian",0.002197802197802198,pittsburgh post-gazette
83,"nayef, prince, saudi, qatar, bahrain",0.001098901098901099,pittsburgh post-gazette
84,"kerry, clark, bush, democratic, sen",0.006593406593406593,pittsburgh post-gazette
85,"clinton, united, laden, bin, bombing",0.007692307692307693,pittsburgh post-gazette
86,"sri, lanka, avenger, tamil, wickremesinghe",0.002197802197802198,pittsburgh post-gazette
87,"rahman, abdel, sheik, nosair, indictment",0.0032967032967032967,pittsburgh post-gazette
88,"abortion, clinic, doctor, parenthood, rico",0.005494505494505495,pittsburgh post-gazette
90,"tsouli, kohlmann, daour, computer, waseem",0.001098901098901099,pittsburgh post-gazette
91,"libya, craxi, monday, italian, korean",0.001098901098901099,pittsburgh post-gazette
92,"hamdan, qaida, mohammed, driver, bin",0.001098901098901099,pittsburgh post-gazette
93,"nato, european, eu, europe, iran",0.002197802197802198,pittsburgh post-gazette
94,"drone, strike, cia, qaida, al",0.004395604395604396,pittsburgh post-gazette
96,"bombing, seven, kansi, terrorist, state",0.002197802197802198,pittsburgh post-gazette
97,"annan, rice, reform, assembly, nation",0.004395604395604396,pittsburgh post-gazette
98,"tunisia, morocco, email, tunisian, consulate",0.002197802197802198,pittsburgh post-gazette
100,"ashcroft, kidd, alubeidy, justice, department",0.004395604395604396,pittsburgh post-gazette
102,"tsarnaev, boston, fbi, tamerlan, marathon",0.004395604395604396,pittsburgh post-gazette
104,"biological, allswede, hospital, emergency, chemical",0.005494505494505495,pittsburgh post-gazette
105,"athlete, olympics, olympic, game, usoc",0.005494505494505495,pittsburgh post-gazette
107,"teacher, child, school, travel, holocaust",0.004395604395604396,pittsburgh post-gazette
110,"japan, aum, koizumi, japanese, bill",0.002197802197802198,pittsburgh post-gazette
111,"zawahri, al, qaida, iran, masri",0.004395604395604396,pittsburgh post-gazette
113,"mali, africa, african, aid, continent",0.006593406593406593,pittsburgh post-gazette
117,"assad, clinton, peace, syria, israel",0.004395604395604396,pittsburgh post-gazette
118,"carlos, oussedik, french, sudan, bruguiere",0.002197802197802198,pittsburgh post-gazette
