Topic,Words,Frequency,Timestamp
-1,"soviet, reagan, subcommittee, mr, political",88,1979.2
1,"palestinian, israel, israeli, arab, arafat",16,1979.2
7,"libyan, libya, qaddafi, colonel, oil",27,1979.2
13,"turkey, turkish, demirel, ankara, evren",41,1979.2
17,"ireland, irish, northern, ira, protestant",23,1979.2
18,"basque, spain, spanish, eta, madrid",19,1979.2
24,"mahler, germany, german, berlin, baumann",7,1979.2
35,"salvador, el, nicaragua, salvadoran, costa",24,1979.2
39,"puerto, rico, webster, bomb, extortion",7,1979.2
54,"brigade, italian, italy, red, bologna",28,1979.2
64,"south, african, africa, black, namibian",7,1979.2
129,"haig, soviet, reagan, union, carter",8,1979.2
130,"argentina, argentine, esquivel, timerman, military",8,1979.2
156,"chile, pinochet, chilean, letelier, allende",9,1979.2
195,"tekere, mugabe, zimbabwe, bennett, bodyguard",6,1979.2
198,"soviet, union, moscow, liberation, intelligence",8,1979.2
269,"intelligence, order, reagan, agency, carter",8,1979.2
-1,"reagan, lebanon, french, israel, mr",153,1981.75
0,"sikh, punjab, gandhi, india, pakistan",17,1981.75
1,"israel, israeli, palestinian, arab, jewish",45,1981.75
4,"nbc, film, boll, viewer, novel",9,1981.75
7,"libyan, libya, qaddafi, colonel, malta",10,1981.75
13,"armenian, turkish, turkey, turk, genocide",25,1981.75
17,"ireland, irish, northern, ira, british",35,1981.75
18,"basque, spanish, eta, spain, madrid",21,1981.75
20,"french, france, mitterrand, paris, defferre",8,1981.75
35,"salvador, nicaragua, salvadoran, el, costa",42,1981.75
39,"webster, puerto, bureau, rican, incident",6,1981.75
53,"clinic, abortion, webster, bureau, parenthood",7,1981.75
54,"brigade, italian, dozier, italy, red",13,1981.75
60,"greek, greece, athens, papandreou, shara",6,1981.75
64,"south, africa, african, black, pretoria",22,1981.75
121,"marine, beirut, lebanon, commander, command",29,1981.75
125,"tamil, sri, lanka, sinhalese, jayewardene",7,1981.75
129,"reagan, soviet, haig, moscow, administration",8,1981.75
130,"alfonsin, argentina, argentine, peronist, peron",19,1981.75
206,"lebanon, reagan, marine, neill, beirut",9,1981.75
-1,"libya, reagan, european, terrorist, action",267,1984.3
1,"israeli, arafat, israel, palestinian, peres",15,1984.3
5,"airport, travel, airline, tourism, flight",11,1984.3
7,"libya, libyan, qaddafi, reagan, colonel",54,1984.3
20,"french, france, chirac, paris, abdallah",20,1984.3
35,"salvador, nicaragua, nicaraguan, salvadoran, el",11,1984.3
37,"hostage, lebanon, beirut, captor, release",20,1984.3
126,"arab, palestinian, qaddafi, nidal, israeli",9,1984.3
129,"reagan, soviet, haig, administration, arm",13,1984.3
151,"thatcher, treaty, extradition, libya, britain",14,1984.3
