rank,word_of_interest,colocate,score,label
0,terrorism,"('international', 'terrorism')",2688.0807624539657,1980s
1,terrorism,"('act', 'terrorism')",909.4908399015555,1980s
2,terrorism,"('fight', 'terrorism')",875.8669576983142,1980s
3,terrorism,"('combat', 'terrorism')",729.6487603567955,1980s
4,terrorism,"('sponsored', 'terrorism')",631.4448672339204,1980s
5,terrorism,"('combating', 'terrorism')",545.9784996498627,1980s
6,terrorism,"('terrorism', 'expert')",368.1065215808379,1980s
7,terrorism,"('counter', 'terrorism')",349.60699144571953,1980s
8,terrorism,"('anti', 'terrorism')",331.75764090174835,1980s
9,terrorism,"('fighting', 'terrorism')",312.58362529869896,1980s
10,terrorism,"('definition', 'terrorism')",284.7118367445397,1980s
11,terrorism,"('renounced', 'terrorism')",254.74365847345723,1980s
12,terrorism,"('sponsor', 'terrorism')",252.07326296719563,1980s
13,terrorism,"('support', 'terrorism')",248.16211799806308,1980s
14,terrorism,"('supporting', 'terrorism')",234.3892756090326,1980s
15,terrorism,"('renunciation', 'terrorism')",223.62071414958712,1980s
16,terrorism,"('form', 'terrorism')",213.08861977490918,1980s
17,terrorism,"('supported', 'terrorism')",207.85537632731553,1980s
18,terrorism,"('combatting', 'terrorism')",203.70728357698377,1980s
19,terrorism,"('dealing', 'terrorism')",155.44196866072116,1980s
0,terrorism,"('anti', 'terrorism')",4120.334938273959,1990s
1,terrorism,"('international', 'terrorism')",1517.379693124406,1990s
2,terrorism,"('act', 'terrorism')",1338.230559553821,1990s
3,terrorism,"('domestic', 'terrorism')",1328.4446249526509,1990s
4,terrorism,"('fight', 'terrorism')",1274.2009458186817,1990s
5,terrorism,"('sponsor', 'terrorism')",979.9157614276124,1990s
6,terrorism,"('counter', 'terrorism')",942.8838782056603,1990s
7,terrorism,"('terrorism', 'expert')",857.1691474066756,1990s
8,terrorism,"('combat', 'terrorism')",772.3560872186754,1990s
9,terrorism,"('sponsored', 'terrorism')",568.0464590267869,1990s
10,terrorism,"('terrorism', 'bill')",512.9070201360792,1990s
11,terrorism,"('fighting', 'terrorism')",446.66754274146456,1990s
12,terrorism,"('combating', 'terrorism')",399.42872604699727,1990s
13,terrorism,"('terrorism', 'legislation')",388.4798972777355,1990s
14,terrorism,"('support', 'terrorism')",363.70233365468954,1990s
15,terrorism,"('supporting', 'terrorism')",290.70987089336563,1990s
16,terrorism,"('sponsoring', 'terrorism')",272.60927552282755,1990s
17,terrorism,"('terrorism', 'coverage')",256.3171930207405,1990s
18,terrorism,"('threat', 'terrorism')",247.57783157414602,1990s
19,terrorism,"('urban', 'terrorism')",223.07482264218385,1990s
0,terrorism,"('anti', 'terrorism')",11380.902589773747,2000s
1,terrorism,"('war', 'terrorism')",10763.617093589108,2000s
2,terrorism,"('fight', 'terrorism')",5824.059706791311,2000s
3,terrorism,"('terrorism', 'insurance')",4608.492379395395,2000s
4,terrorism,"('terrorism', 'suspect')",4398.502963045512,2000s
5,terrorism,"('counter', 'terrorism')",3005.6150713049174,2000s
6,terrorism,"('terrorism', 'risk')",2886.827237501585,2000s
7,terrorism,"('terrorism', 'coverage')",2881.313284609375,2000s
8,terrorism,"('fighting', 'terrorism')",2835.8043325539275,2000s
9,terrorism,"('act', 'terrorism')",2479.8739852569997,2000s
10,terrorism,"('terrorism', 'related')",2309.2676680015784,2000s
11,terrorism,"('sponsor', 'terrorism')",1892.994818217122,2000s
12,terrorism,"('international', 'terrorism')",1695.163990497921,2000s
13,terrorism,"('terrorism', 'task')",1595.634936661159,2000s
14,terrorism,"('terrorism', 'expert')",1451.703819060438,2000s
15,terrorism,"('domestic', 'terrorism')",1444.3144550949805,2000s
16,terrorism,"('combat', 'terrorism')",1407.2817857281157,2000s
17,terrorism,"('combating', 'terrorism')",1249.165977607306,2000s
18,terrorism,"('terrorism', 'case')",1163.9635018753752,2000s
19,terrorism,"('global', 'terrorism')",1066.1310788175829,2000s
0,terrorism,"('domestic', 'terrorism')",12354.936791045968,2010s
1,terrorism,"('act', 'terrorism')",6454.4467362795185,2010s
2,terrorism,"('counter', 'terrorism')",6122.358227400171,2010s
3,terrorism,"('anti', 'terrorism')",5260.286715566072,2010s
4,terrorism,"('fight', 'terrorism')",4523.585668069933,2010s
5,terrorism,"('sponsor', 'terrorism')",4490.357472340674,2010s
6,terrorism,"('terrorism', 'suspect')",4090.660087752487,2010s
7,terrorism,"('terrorism', 'related')",3477.102579796976,2010s
8,terrorism,"('terrorism', 'charge')",2804.5795417854533,2010s
9,terrorism,"('war', 'terrorism')",2735.372314297559,2010s
10,terrorism,"('international', 'terrorism')",2601.5399646247483,2010s
11,terrorism,"('fighting', 'terrorism')",2175.734786078945,2010s
12,terrorism,"('terrorism', 'case')",1973.939876654178,2010s
13,terrorism,"('terrorism', 'task')",1953.4162142113964,2010s
14,terrorism,"('terrorism', 'expert')",1767.087994517568,2010s
15,terrorism,"('joint', 'terrorism')",1644.15890429574,2010s
16,terrorism,"('islamic', 'terrorism')",1373.5529166223523,2010s
17,terrorism,"('definition', 'terrorism')",1291.3469098484736,2010s
18,terrorism,"('global', 'terrorism')",1272.0966752552952,2010s
19,terrorism,"('terrorism', 'insurance')",1271.4126109546128,2010s
