colocate,label,score_normalized,score
abduct,2011 - 2015,1.8577116188326904e-06,3.319342401125682
abet,2011 - 2015,2.788934336365821e-05,49.832427718094216
ability,2011 - 2015,5.2278086771985267e-08,0.09341001494140233
abroad,2011 - 2015,8.871859233976247e-08,0.1585215823253565
absolutely,2011 - 2015,2.6828207434292538e-06,4.7936399589727
absurd,2011 - 2015,3.576162584283092e-06,6.38985512013377
academic,2011 - 2015,1.927774648309508e-06,3.444530391627594
accept,2011 - 2015,4.467888713015077e-08,0.07983183341416922
access,2011 - 2015,3.2883866537234487e-09,0.005875659677393175
according,2011 - 2015,1.582103981507528e-05,28.26889155221818
accusation,2011 - 2015,6.820117041539082e-07,1.2186123748768658
accused,2011 - 2015,2.4537856305353183e-05,43.84402080569832
achieve,2011 - 2015,3.4260858387466928e-06,6.121699341900042
acquit,2011 - 2015,1.2129790576642649e-05,21.673400634229896
across,2011 - 2015,9.228847539887629e-07,1.6490021724643356
act,2011 - 2015,0.0017426441662959258,3113.7409125400636
add,2011 - 2015,3.793179855505471e-06,6.777619627198476
addition,2011 - 2015,2.9848745942989204e-06,5.3333470612219624
additional,2011 - 2015,7.917439881572029e-08,0.14146810323433967
address,2011 - 2015,5.158813492181643e-06,9.217721518508728
administration,2011 - 2015,6.291138603896362e-06,11.240949837194584
adviser,2011 - 2015,1.3041541844663077e-06,2.3302509594167384
advisory,2011 - 2015,6.438268171092256e-05,115.03839623694103
advocate,2011 - 2015,7.678773727658854e-06,13.720363787617291
affect,2011 - 2015,9.40641041163611e-06,16.807289465817696
affected,2011 - 2015,1.9467106500854632e-05,34.78365069176855
affiliate,2011 - 2015,6.208629871813634e-08,0.11093523977287756
afford,2011 - 2015,3.1322132429853155e-06,5.596610432646975
afghanistan,2011 - 2015,7.330108821645296e-06,13.09737247153642
afraid,2011 - 2015,2.3585545556557036e-06,4.21424405305461
africa,2011 - 2015,2.946733987502005e-07,0.5265197768262695
aftermath,2011 - 2015,1.1775254671773576e-06,2.103991907023298
age,2011 - 2015,2.341647789063426e-05,41.84035194668428
agency,2011 - 2015,1.0994712708295172e-05,19.64525371476744
agent,2011 - 2015,9.381400675800082e-06,16.762602294913506
aggressive,2011 - 2015,6.458920747009541e-06,11.540741460469924
agree,2011 - 2015,3.8427403670396e-06,6.866173903163053
ahead,2011 - 2015,4.779791628050127e-06,8.540488662875314
aid,2011 - 2015,2.29224163839297e-06,4.095756729305814
aim,2011 - 2015,7.750900710623449e-07,1.3849239631635581
al,2011 - 2015,1.672371256062313e-05,29.881779089908363
alert,2011 - 2015,2.461751412715985e-05,43.98635268478208
algeria,2011 - 2015,6.051041194818739e-07,1.081194594753137
alienate,2011 - 2015,2.147091548490137e-06,3.83640385501824
allege,2011 - 2015,1.3894754062229542e-06,2.4827021505605185
allegedly,2011 - 2015,8.970604888806992e-09,0.016028596079876334
alliance,2011 - 2015,1.2880926312851581e-06,2.301552320746639
allocation,2011 - 2015,6.8089206071722535e-06,12.166118060609918
allow,2011 - 2015,5.469534080463898e-07,0.9772914269166169
ally,2011 - 2015,1.5302863450055884e-06,2.7343018686788803
almost,2011 - 2015,3.0805138045847764e-06,5.504234341407837
alone,2011 - 2015,5.8543116022525326e-05,104.60431282100406
along,2011 - 2015,3.4787422670618246e-09,0.0062157853741056646
already,2011 - 2015,4.775895730288878e-08,0.08533527507818595
also,2011 - 2015,6.434664284352208e-06,11.497400231301967
although,2011 - 2015,2.173348664517787e-06,3.8833198336224015
always,2011 - 2015,1.6396890527107795e-05,29.297816421821466
america,2011 - 2015,1.9446470387882816e-05,34.74677827083553
among,2011 - 2015,2.809569005646745e-06,5.020112613168553
analysis,2011 - 2015,2.1740251069437794e-06,3.8845284948611822
analyst,2011 - 2015,3.173441820436048e-05,56.70277283778747
anger,2011 - 2015,2.3215559255496644e-07,0.41481352337688104
angry,2011 - 2015,2.378922459053936e-06,4.2506372395354415
announcement,2011 - 2015,2.0543506260530294e-06,3.6706952094759187
annual,2011 - 2015,2.69369449738651e-06,4.813069084679739
another,2011 - 2015,4.339335593379228e-06,7.753485784229663
answer,2011 - 2015,2.3103394288319565e-07,0.41280936983820804
anxious,2011 - 2015,8.492243064443919e-06,15.173863477360815
anyone,2011 - 2015,1.117813160259555e-08,0.019972984944333305
anything,2011 - 2015,1.973727751420846e-06,3.526638982689005
anywhere,2011 - 2015,6.528823364313013e-06,11.665642827944213
ap,2011 - 2015,1.2304428595677908e-05,21.985442274899924
apparently,2011 - 2015,4.937709636897422e-07,0.882265513982158
appeal,2011 - 2015,1.477411740681237e-06,2.639826001543568
appear,2011 - 2015,1.508818618648697e-07,0.2695943528433924
applicable,2011 - 2015,6.808920607172254e-06,12.16611806060992
applied,2011 - 2015,2.8733315009132498e-06,5.134042865848286
approach,2011 - 2015,1.5468612874572617e-05,27.63917826677048
approve,2011 - 2015,1.7993724805383337e-07,0.321510255387357
april,2011 - 2015,1.4540341652866776e-06,2.598055160226748
area,2011 - 2015,9.108954042520894e-06,16.27579710258995
argue,2011 - 2015,1.273471728617086e-06,2.275427823447452
argument,2011 - 2015,2.335856147722675e-09,0.004173686742045546
army,2011 - 2015,3.858635608431946e-06,6.894575377425726
around,2011 - 2015,1.309892448636039e-05,23.405040381908368
arrest,2011 - 2015,5.6246399809042975e-06,10.05005609611997
articles,2011 - 2015,4.443364151022739e-06,7.939363074770071
ask,2011 - 2015,7.30535780638048e-06,13.053147580220383
aspect,2011 - 2015,3.386274845260007e-06,6.050565417036974
assault,2011 - 2015,6.732223561958372e-07,1.2029076470495161
assess,2011 - 2015,1.8050748072325458e-06,3.2252914198898477
assessment,2011 - 2015,3.3848681433845535e-06,6.04805193478623
associate,2011 - 2015,3.3158634467446225e-06,5.924754963872271
assumption,2011 - 2015,7.11099081158575e-06,12.705854383224114
attack,2011 - 2015,1.4941948876589272e-05,26.698139775149823
attempt,2011 - 2015,2.980862350345027e-06,5.326178019835341
attend,2011 - 2015,3.8793587746882034e-07,0.693160334438391
attention,2011 - 2015,2.896068670296976e-08,0.05174669435468604
attitude,2011 - 2015,4.584037131629701e-06,8.190716290461765
attorney,2011 - 2015,7.085229984290234e-06,12.659825168859932
attribute,2011 - 2015,6.000939929416664e-06,10.72242545742233
aug,2011 - 2015,1.9394957249261263e-07,0.34654735058364783
august,2011 - 2015,1.5409665073264818e-06,2.7533850865923917
australia,2011 - 2015,1.4769318156244054e-07,0.2638968475771347
author,2011 - 2015,2.3374701279065657e-11,4.1765705873123005e-05
authority,2011 - 2015,1.5072339015780052e-05,26.931119702344652
avoid,2011 - 2015,1.1748340882306093e-07,0.20991829753436586
aware,2011 - 2015,2.4187205150382607e-06,4.321748047785729
away,2011 - 2015,1.6812559068508372e-06,3.0040529230579143
baca,2011 - 2015,2.3407848397301452e-05,41.82493284566266
back,2011 - 2015,1.207985902608214e-06,2.158418338907233
background,2011 - 2015,5.448905939594164e-08,0.09736056092713397
backstop,2011 - 2015,2.9028409869031754e-05,51.867701498297116
bad,2011 - 2015,3.3703601324821428e-06,6.0221291514779
bank,2011 - 2015,1.4895803298776422e-06,2.6615687272024022
base,2011 - 2015,1.192195781720859e-05,21.302046930167954
battle,2011 - 2015,5.8764421760080916e-05,104.99973992111674
became,2011 - 2015,6.779764170514407e-06,12.114021601997607
become,2011 - 2015,3.7631571443258e-05,67.23975317067041
becoming,2011 - 2015,4.342096357086556e-07,0.7758418691975044
began,2011 - 2015,7.3549480598609925e-09,0.013141754998827082
begin,2011 - 2015,7.696632253599654e-08,0.1375227324104158
behind,2011 - 2015,8.674399131779646e-09,0.015499338299071685
belief,2011 - 2015,7.119060600295644e-08,0.12720273409062854
believe,2011 - 2015,3.217062886653745e-06,5.748219012306931
berger,2011 - 2015,1.072791802981781e-05,19.168547384416193
bernie,2011 - 2015,1.0463287995751961e-05,18.695708821217643
best,2011 - 2015,6.186624912303037e-08,0.11054205713678855
better,2011 - 2015,7.045464799017888e-07,1.258877309370197
beyond,2011 - 2015,6.210969157136257e-07,1.109770379124865
big,2011 - 2015,4.67579496535531e-11,8.35466836194218e-05
biggest,2011 - 2015,2.1516595753608463e-06,3.844565964318582
bin,2011 - 2015,1.1719606663732089e-05,20.940487710296523
biological,2011 - 2015,2.6838476190273525e-06,4.795474771049502
black,2011 - 2015,7.811073945767148e-07,1.3956756626631228
blacklist,2011 - 2015,2.4815376206974012e-05,44.3398908682353
blame,2011 - 2015,9.303620243211409e-07,1.6623624917987958
blow,2011 - 2015,1.4931169799670406e-07,0.2667887981752288
bogus,2011 - 2015,1.623891610414637e-05,29.015549144643796
bolster,2011 - 2015,3.318367114824122e-06,5.9292284954637084
bomb,2011 - 2015,1.6402953311192624e-05,29.30864934985918
