colocate,label,score_normalized,score
abandon,2006 - 2010,4.2813681360430215e-06,6.9089764835448415
abet,2006 - 2010,2.665218107158498e-05,43.009450812829904
abhor,2006 - 2010,8.441527333246937e-06,13.622354345007912
able,2006 - 2010,4.385451752919163e-07,0.7076939442689993
abroad,2006 - 2010,2.0041995645288873e-06,3.2342389674667658
absolutely,2006 - 2010,2.0892441060558995e-06,3.3714779805096926
accept,2006 - 2010,1.912911361531198e-06,3.0869243643551014
access,2006 - 2010,2.7554570527893696e-08,0.04446566465254842
according,2006 - 2010,2.3238660269642116e-05,37.50094647558984
accountable,2006 - 2010,6.628380977861618e-07,1.0696423863785607
accusation,2006 - 2010,8.098020097396393e-06,13.068026069791578
accuse,2006 - 2010,1.3134835957738007e-06,2.119609196491651
accused,2006 - 2010,1.940028041449681e-05,31.30683391356635
acknowledge,2006 - 2010,7.05119665701996e-07,1.1378734632529477
acquit,2006 - 2010,6.808589843608172e-06,10.98723249691566
acquittal,2006 - 2010,1.9203400107892455e-06,3.09891220595094
across,2006 - 2010,1.269182953826288e-12,2.0481198772610495e-06
act,2006 - 2010,0.001229978731774586,1984.8548088053344
add,2006 - 2010,6.109585517257604e-06,9.85922754634963
addition,2006 - 2010,1.1540529791768983e-06,1.862331068140115
address,2006 - 2010,5.720271090779483e-06,9.230978787594665
adm,2006 - 2010,3.369774800678439e-06,5.4379100588736184
administration,2006 - 2010,3.0722716348141445e-05,49.57819977520264
adopt,2006 - 2010,5.137645354763744e-08,0.08290777575988251
adviser,2006 - 2010,1.5019202350227807e-06,2.4236952427835465
advisory,2006 - 2010,5.741847521473639e-06,9.265797342675178
advocate,2006 - 2010,7.33798252661637e-08,0.11841529880659163
affect,2006 - 2010,2.9932611255838413e-06,4.8303182694495375
afford,2006 - 2010,1.810597614176528e-05,29.218174985227023
afghanistan,2006 - 2010,2.2128734784766136e-05,35.709825312955445
africa,2006 - 2010,8.972083404040995e-08,0.1447852912368648
aftermath,2006 - 2010,2.1144201352068598e-06,3.412105319207501
age,2006 - 2010,3.678338085116768e-05,59.35848196433567
agency,2006 - 2010,2.4439448736986755e-05,39.43869604978637
agenda,2006 - 2010,2.4920621718491725e-06,4.021517980640337
agent,2006 - 2010,3.089336891203622e-06,4.985358710778912
ago,2006 - 2010,6.725704551522786e-07,1.0853477931633417
agree,2006 - 2010,2.1850850614348552e-06,3.526139501274331
agreement,2006 - 2010,1.6411838013021855e-07,0.2648429176859177
agri,2006 - 2010,1.4242063888987552e-05,22.98286000163977
agro,2006 - 2010,1.1143658932835602e-05,17.98286787334373
aid,2006 - 2010,1.3886229764603486e-05,22.408639444263347
aim,2006 - 2010,1.1703438907918509e-06,1.8886202172314244
air,2006 - 2010,1.5188710955000064e-06,2.4510493718123207
airline,2006 - 2010,4.884889449072058e-08,0.078828975355405
airstrike,2006 - 2010,2.0803351956936582e-06,3.357101395681923
al,2006 - 2010,1.8271486997364705e-05,29.485264983744344
albeit,2006 - 2010,5.2761260513216725e-06,8.514248168925374
alert,2006 - 2010,3.6807023341865924e-05,59.39663458449264
allegation,2006 - 2010,1.7742983311445518e-06,2.8632402202162286
allege,2006 - 2010,3.847944806944414e-06,6.209547821255216
alliance,2006 - 2010,6.872834406242847e-07,1.1090905939220677
allow,2006 - 2010,4.5982934319819513e-07,0.7420408658285667
ally,2006 - 2010,9.77693716581756e-08,0.15777346589531938
almost,2006 - 2010,8.930280734775965e-07,1.4411070860410753
alone,2006 - 2010,2.2268096739864205e-06,3.5934718020117806
along,2006 - 2010,4.854798739811054e-08,0.07834339225194031
already,2006 - 2010,3.5976927471006406e-06,5.805708314471464
also,2006 - 2010,5.565732830956127e-05,89.81595607031662
although,2006 - 2010,1.2755669613240365e-06,2.0584219480643986
always,2006 - 2010,6.514357666154885e-07,1.0512420910961788
america,2006 - 2010,2.8697145583260125e-05,46.30947343921994
among,2006 - 2010,2.69769172839952e-06,4.353348770561886
amount,2006 - 2010,1.974038311009466e-07,0.31855668176636165
analysis,2006 - 2010,6.646996282054794e-06,10.726463957236565
analyst,2006 - 2010,8.38776239383659e-05,135.35592195568313
analyze,2006 - 2010,4.410445171396468e-06,7.117272096882794
announce,2006 - 2010,1.0556926090214006e-09,0.0017036038896487138
annual,2006 - 2010,7.258067408545076e-06,11.712568377258854
another,2006 - 2010,1.3872199626852294e-06,2.238599857603998
answer,2006 - 2010,3.7266105968006755e-09,0.006013747044985751
anymore,2006 - 2010,3.429886498747637e-06,5.534914169510523
anything,2006 - 2010,2.4138363879192434e-06,3.895282608113309
anywhere,2006 - 2010,1.0228387524370742e-06,1.6505866028090321
apologist,2006 - 2010,1.6186953035408326e-05,26.121387908782513
apparently,2006 - 2010,4.055629843220949e-06,6.544695602530785
appeal,2006 - 2010,1.3743907785732386e-06,2.217897005497771
appear,2006 - 2010,5.731508531380826e-06,9.249112993853712
application,2006 - 2010,1.1418341096102762e-06,1.8426130995355008
apply,2006 - 2010,2.7084812922694334e-06,4.370760224255245
approach,2006 - 2010,2.747323970572845e-05,44.334418583564876
approval,2006 - 2010,6.411544702657407e-08,0.1034650844456404
approve,2006 - 2010,1.4499735801608633e-07,0.233986731548657
april,2006 - 2010,2.8593871890705258e-06,4.614281748005968
