colocate,label,score_normalized,score
abet,2016 - 2020,2.9597957594534312e-05,57.867351666522765
ability,2016 - 2020,1.418950577636884e-07,0.27742087206953814
abortion,2016 - 2020,1.3624708817051837e-06,2.663784532943267
abroad,2016 - 2020,1.3185483358123419e-05,25.779109924750752
abuse,2016 - 2020,1.1765409962937929e-07,0.23002705968869464
accomplice,2016 - 2020,3.696125424674432e-06,7.226342867411503
according,2016 - 2020,3.0059808703314565e-05,58.77032277336345
account,2016 - 2020,1.4909735121751747e-06,2.9150216963093425
accurate,2016 - 2020,2.4270518514694493e-06,4.745160626481989
accusation,2016 - 2020,4.698009692030702e-07,0.9185139823015223
accused,2016 - 2020,6.7221098766194735e-06,13.142484407207128
achieve,2016 - 2020,8.111832785659834e-08,0.15859549733069755
acknowledge,2016 - 2020,2.0191181739922644e-07,0.3947604190508538
acknowledgment,2016 - 2020,1.4578999711131257e-05,28.503591862228966
acquit,2016 - 2020,2.4533761966069954e-06,4.796627695876893
across,2016 - 2020,4.261992361326102e-06,8.33267667152936
act,2016 - 2020,0.0018092407884825878,3537.270185692558
add,2016 - 2020,6.3389404414464965e-06,12.393344863297784
addition,2016 - 2020,5.544167179587597e-06,10.839473326985047
address,2016 - 2020,6.0446580460754516e-06,11.817989526436714
adequate,2016 - 2020,1.6365466092055312e-06,3.1996335507636537
administration,2016 - 2020,2.14231196874261e-05,41.8846198014427
advertisement,2016 - 2020,3.940933417416933e-06,7.704970156526272
adviser,2016 - 2020,1.0022252773827057e-07,0.1959463668739534
advisory,2016 - 2020,1.0493630104165645e-05,20.516232633845608
advocate,2016 - 2020,1.704649495248575e-08,0.033327823886039276
affect,2016 - 2020,1.0609753312349897e-05,20.743266627768346
affected,2016 - 2020,5.290242842702649e-06,10.343022554924904
afford,2016 - 2020,8.874774777070602e-07,1.7351187538722836
afraid,2016 - 2020,1.1790649658020558e-05,23.05205242484155
africa,2016 - 2020,1.9374196608047223e-07,0.3787874365294903
aftermath,2016 - 2020,4.132702649458925e-06,8.079900675091586
age,2016 - 2020,2.0641503182293313e-06,4.035647121124303
agency,2016 - 2020,2.071278247033187e-06,4.049583027391796
agenda,2016 - 2020,1.8544581655022295e-06,3.6256752673295605
agent,2016 - 2020,5.4311843347011035e-06,10.618579098170478
agree,2016 - 2020,4.3110465076958366e-07,0.842858307080073
agreement,2016 - 2020,4.032725920040648e-07,0.7884434871708432
ahead,2016 - 2020,8.824879342552652e-10,0.0017253636326056143
aid,2016 - 2020,1.2174117874496902e-05,23.801776119961264
aim,2016 - 2020,9.102385335375842e-08,0.17796191900202668
airline,2016 - 2020,5.938553727407451e-06,11.610543593652764
akin,2016 - 2020,2.024667605841977e-05,39.58453956860525
al,2016 - 2020,6.711913673886324e-06,13.122549678692913
