colocate,label,score_normalized,score
abandon,1996 - 2000,1.5042791276449866e-05,7.985796690511493
abroad,1996 - 2000,1.9099122272812007e-05,10.139189239212255
absolute,1996 - 2000,3.2677399997019406e-05,17.347516691217685
acceptable,1996 - 2000,1.6525255995495322e-05,8.772795700840593
accord,1996 - 2000,3.456654497611638e-05,18.350410864560853
according,1996 - 2000,8.949689986373138e-06,4.7511398224458805
accuse,1996 - 2000,1.2298437130538006e-05,6.5288959163629725
accused,1996 - 2000,2.6939066577534897e-06,1.4301196152149105
acknowledge,1996 - 2000,8.400877250449645e-06,4.459790507700704
act,1996 - 2000,0.001484564070342804,788.113497151025
add,1996 - 2000,3.0248803270487293e-07,0.16058242689810132
address,1996 - 2000,6.130366948533468e-06,3.254440162701859
administration,1996 - 2000,1.2088717844612511e-05,6.417561819605133
advocate,1996 - 2000,7.518080140493981e-06,3.9911382403443207
age,1996 - 2000,4.350002761881061e-06,2.3092946662053224
agency,1996 - 2000,4.044347151535785e-06,2.1470306610301053
agro,1996 - 2000,6.801730932960407e-05,36.10848503842557
aim,1996 - 2000,1.209809713729947e-05,6.422541023472444
albright,1996 - 2000,9.496528767317267e-06,5.041441219763252
alert,1996 - 2000,1.818119355620671e-06,0.9651886585570568
algeria,1996 - 2000,6.421942056175988e-07,0.34092292232462595
allow,1996 - 2000,1.5136725088172073e-07,0.08035663521008085
almost,1996 - 2000,7.918401375278684e-06,4.203657574896946
already,1996 - 2000,1.656788556401991e-05,8.795426545142378
also,1996 - 2000,1.7541783077096843e-05,9.312441465704556
alternative,1996 - 2000,2.6014604886564284e-05,13.810425325340155
although,1996 - 2000,6.879087317788698e-07,0.36519148425691217
always,1996 - 2000,1.9699877414128277e-05,10.458113322593107
america,1996 - 2000,5.2432973541648375e-05,27.835197530001956
among,1996 - 2000,1.1684337329066792e-06,0.6202887526556347
analysis,1996 - 2000,1.2156532773055347e-05,6.453562866297438
analyst,1996 - 2000,1.1601074456468053e-05,6.158685598854108
angry,1996 - 2000,1.4548710251566384e-05,7.723502908669549
animal,1996 - 2000,2.380318338279201e-06,1.263644356878956
annual,1996 - 2000,2.2537228026669603e-05,11.964383316974146
another,1996 - 2000,4.027796742311451e-06,2.1382445121843645
anxiety,1996 - 2000,3.3306713093257826e-05,17.68160139324397
ap,1996 - 2000,2.336995436967629e-07,0.1240645441613879
appear,1996 - 2000,3.841188498377281e-07,0.2039179420510544
approach,1996 - 2000,8.539898317085365e-06,4.533592899387742
arab,1996 - 2000,3.884304859778866e-06,2.062068689520526
arafat,1996 - 2000,1.5058706826454247e-06,0.7994245810373419
area,1996 - 2000,3.5228376012188004e-06,1.870175843034227
arms,1996 - 2000,8.715842702989364e-06,4.62699684742137
around,1996 - 2000,2.603957564755035e-05,13.82368160316635
ask,1996 - 2000,6.941315882244459e-06,3.6849502450388805
associate,1996 - 2000,3.546842361580701e-05,18.8291929817707
atlanta,1996 - 2000,3.5902609992304845e-09,0.0019059690371834859
attack,1996 - 2000,6.517684446218639e-05,34.600561773329815
attempt,1996 - 2000,2.1043213405539284e-05,11.17125278702545
attention,1996 - 2000,1.7244080964772345e-05,9.154399749930624
attorney,1996 - 2000,4.6228826678224225e-08,0.02454158967632225
august,1996 - 2000,5.399296018155084e-07,0.2866335075750026
authority,1996 - 2000,9.079086405125753e-06,4.819832758061919
aware,1996 - 2000,1.4652110319512118e-05,7.778395109540037
back,1996 - 2000,1.8942398882175346e-06,1.005598917937819
bajammal,1996 - 2000,1.6525255995495322e-05,8.772795700840593
bank,1996 - 2000,9.081494625978802e-08,0.048211112150826185
base,1996 - 2000,1.5500687121827e-06,0.8228880773738543
basque,1996 - 2000,3.3553002143459507e-06,1.7812349353902635
battle,1996 - 2000,0.00035713775013349963,189.5944316888712
became,1996 - 2000,1.0612038465659864e-05,5.633634084341783
become,1996 - 2000,7.720076932322319e-05,40.98372681215814
began,1996 - 2000,3.4656104536565196e-06,1.839795552753544
begin,1996 - 2000,5.439325185997788e-06,2.8875854401410175
believe,1996 - 2000,3.702522344621524e-06,1.9655654421339177
