rank,word_of_interest,colocate,score,score_normalized,label
54,terrorism,"('links', 'terrorism')",149.57342478358845,8.635614775274686e-05,2001 - 2005
55,terrorism,"('said', 'terrorism')",145.86025874737157,8.42123530558081e-05,2001 - 2005
56,terrorism,"('terrorism', 'package')",139.71095295825182,8.066205419710126e-05,2001 - 2005
57,terrorism,"('terrorism', 'reinsure')",133.90607229056758,7.731060902326174e-05,2001 - 2005
58,terrorism,"('connection', 'terrorism')",124.96478095486869,7.214835859807332e-05,2001 - 2005
59,terrorism,"('alone', 'terrorism')",124.61694380377325,7.19475349794569e-05,2001 - 2005
60,terrorism,"('terrorism', 'threat')",120.37579732379947,6.949891101704132e-05,2001 - 2005
61,terrorism,"('eradicate', 'terrorism')",117.4254014792645,6.779550133816026e-05,2001 - 2005
62,terrorism,"('bush', 'terrorism')",117.14214409022915,6.763196281535794e-05,2001 - 2005
63,terrorism,"('victim', 'terrorism')",112.88783276252275,6.517573813418108e-05,2001 - 2005
64,terrorism,"('also', 'terrorism')",111.01327289377454,6.409346185929331e-05,2001 - 2005
65,terrorism,"('president', 'terrorism')",110.87061076588054,6.401109594560936e-05,2001 - 2005
66,terrorism,"('terrorism', 'states')",109.55629823691945,6.32522782137264e-05,2001 - 2005
67,terrorism,"('terrorism', 'measure')",109.32126838288605,6.311658383599466e-05,2001 - 2005
68,terrorism,"('islamist', 'terrorism')",109.05547093102905,6.296312579986239e-05,2001 - 2005
69,terrorism,"('united', 'terrorism')",108.88412550753904,6.286419959870688e-05,2001 - 2005
70,terrorism,"('finance', 'terrorism')",108.6239257391231,6.27139733825253e-05,2001 - 2005
71,terrorism,"('tie', 'terrorism')",106.33155547867439,6.13904744708588e-05,2001 - 2005
72,terrorism,"('terrorism', 'loss')",106.25623612116311,6.134698887456857e-05,2001 - 2005
73,terrorism,"('date', 'terrorism')",105.07578635993951,6.0665456749845136e-05,2001 - 2005
74,terrorism,"('terrorism', 'date')",105.07578635993951,6.0665456749845136e-05,2001 - 2005
75,terrorism,"('offer', 'terrorism')",102.57827259845554,5.9223518332554224e-05,2001 - 2005
76,terrorism,"('terrorism', 'espionage')",101.51025133524388,5.860689674925876e-05,2001 - 2005
77,terrorism,"('stop', 'terrorism')",101.20180841311054,5.842881737054844e-05,2001 - 2005
78,terrorism,"('struggle', 'terrorism')",100.84062893354846,5.8220290564750884e-05,2001 - 2005
79,terrorism,"('deal', 'terrorism')",100.80384611579385,5.819905402189993e-05,2001 - 2005
80,terrorism,"('terrorism', 'conviction')",99.92872947599817,5.7693805833885085e-05,2001 - 2005
81,terrorism,"('campaign', 'terrorism')",99.87928629059805,5.766525983361828e-05,2001 - 2005
82,terrorism,"('future', 'terrorism')",98.4796896297181,5.6857203347540806e-05,2001 - 2005
83,terrorism,"('unrelated', 'terrorism')",96.7418748170652,5.585387676766542e-05,2001 - 2005
84,terrorism,"('roots', 'terrorism')",95.93508955674773,5.53880796700492e-05,2001 - 2005
85,terrorism,"('scourge', 'terrorism')",95.50729972458946,5.514109540792889e-05,2001 - 2005
86,terrorism,"('terrorism', 'must')",92.4541355645962,5.337835248955788e-05,2001 - 2005
87,terrorism,"('terrorism', 'terrorist')",92.27908818674561,5.327728896676118e-05,2001 - 2005
88,terrorism,"('form', 'terrorism')",89.10468627331969,5.1444549487411576e-05,2001 - 2005
89,terrorism,"('terrorism', 'form')",89.10468627331969,5.1444549487411576e-05,2001 - 2005
90,terrorism,"('condemnation', 'terrorism')",89.01908900562287,5.139512994442022e-05,2001 - 2005
91,terrorism,"('terrorism', 'policy')",86.50690536945152,4.994472188175045e-05,2001 - 2005
92,terrorism,"('handle', 'terrorism')",83.39217543298797,4.814643399075431e-05,2001 - 2005
93,terrorism,"('denounce', 'terrorism')",82.6482226547449,4.771691319765902e-05,2001 - 2005
94,terrorism,"('buy', 'terrorism')",82.57551950850672,4.767493806973962e-05,2001 - 2005
95,terrorism,"('terrorism', 'prosecution')",81.89088058800161,4.727966210502889e-05,2001 - 2005
96,terrorism,"('could', 'terrorism')",81.67594569133081,4.7155569541654213e-05,2001 - 2005
97,terrorism,"('islam', 'terrorism')",79.71535941891005,4.602362596231758e-05,2001 - 2005
98,terrorism,"('incite', 'terrorism')",77.90395735134824,4.497781381478987e-05,2001 - 2005
99,terrorism,"('involved', 'terrorism')",74.75102425130325,4.315746934493532e-05,2001 - 2005
100,terrorism,"('terrorism', 'exposure')",74.53264061809952,4.3031385655115354e-05,2001 - 2005
101,terrorism,"('nature', 'terrorism')",73.45203501036602,4.240749850631939e-05,2001 - 2005
102,terrorism,"('end', 'terrorism')",73.34670754491535,4.2346687742762693e-05,2001 - 2005
103,terrorism,"('one', 'terrorism')",72.81056518290859,4.2037146197552034e-05,2001 - 2005
104,terrorism,"('study', 'terrorism')",70.74553175580968,4.0844900101676845e-05,2001 - 2005
105,terrorism,"('cover', 'terrorism')",70.25624978291877,4.056241338049053e-05,2001 - 2005
106,terrorism,"('terrorism', 'campaign')",69.10643104773662,3.989856606451224e-05,2001 - 2005
